Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,ammonizioni,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevuti,cross,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,triangolazione,triFatta,triFatta_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,traversoni,triChiusa,triChiusa_PERC,inFuorigioco,golProcurati,thirdPass,interventoPositivo,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,parataPiede,parataPiede_PERC,interventoNegativo,autogol,espulsioni
8284,NATHAN,AKE',AKE' N.,18-02-1995,132449,75,1,62,3,4.84%,58,93.55%,50,1,2.00%,1,4,3,75.00%,5,1,20.00%,3,60.00%,2,66.67%,3,60.00%,2,66.67%,1,1,1,1,0.000,0.000,0.670,0.000,0.429,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13858,STEVEN,BERGWIJN,BERGWIJN S.,08-10-1997,132449,47,1,25,2,8.00%,22,88.00%,26,,,4,1,1,100.00%,3,,,1,33.33%,1,100.00%,1,33.33%,,,1,,,1,0.036,0.000,0.139,0.000,0.174,-0.036,0.036,0.000,411,1,1,100.00%,1,100.00%,1,50.00%,3,11.54%,1,1,1,100.00%,2,200.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,STEFAN,DE VRIJ,DE VRIJ S.,05-02-1992,132449,98,2,84,1,1.19%,80,95.24%,75,1,1.33%,2,8,1,12.50%,12,2,16.67%,8,66.67%,1,12.50%,4,33.33%,3,75.00%,2,2,,1,0.173,0.214,0.189,0.000,0.159,0.041,0.173,0.000,411,1,,,,,,,1,1.33%,1,1,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,4,1,1,50.00%,3,25.00%,3,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,MEMPHIS,DEPAY,DEPAY M.,13-02-1994,132449,89,4,32,6,18.75%,27,84.38%,35,4,11.43%,6,2,2,100.00%,20,,,8,40.00%,7,87.50%,8,40.00%,2,25.00%,1,,,1,0.586,0.396,1.124,0.132,1.244,-0.191,0.586,0.000,411,4,1,25.00%,2,50.00%,4,66.67%,8,22.86%,1,6,5,83.33%,12,150.00%,,,2,50.00%,3,75.00%,,,3,37.50%,1,1,,,2,10.00%,,,,,,,,,1,50.00%,,,,,1,100.00%,3,1,33.33%,2,66.67%,1,50.00%,1,100.00%,1,100.00%,1,1,100.00%,3,2,66.67%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17370,DENZEL,DUMFRIES,DUMFRIES D.,18-04-1996,132449,98,1,52,3,5.77%,46,88.46%,44,1,2.27%,3,7,2,28.57%,13,3,23.08%,9,69.23%,2,22.22%,5,38.46%,4,80.00%,,3,,1,0.000,0.000,0.839,0.057,0.839,0.000,0.000,0.000,411,,,,1,100.00%,1,33.33%,,,3,,,,3,33.33%,,,,,,,,,,,1,1,,,4,30.77%,2,50.00%,,,,,,,,,,,,,,,1,,,1,100.00%,,,1,100.00%,,,,,,1,1,100.00%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24807,JEREMIE,FRIMPONG,FRIMPONG J.,10-12-2000,132449,9,1,1,1,100.00%,1,100.00%,2,,,1,,,,1,,,,,,,1,100.00%,,,,,,,0.000,0.000,0.130,0.045,0.130,0.000,0.000,0.000,411,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,2,200.00%,,,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17859,CODY,GAKPO,GAKPO C.,07-05-1999,132449,98,,29,9,31.03%,20,68.97%,32,2,6.25%,15,4,2,50.00%,17,,,7,41.18%,5,71.43%,8,47.06%,3,37.50%,1,,,1,0.503,0.078,1.161,0.000,1.198,-0.425,0.503,0.000,411,2,,,,,2,22.22%,3,9.38%,6,4,3,75.00%,8,114.29%,1,25.00%,1,50.00%,2,100.00%,,,2,66.67%,,3,3,20.00%,2,11.76%,,,,,,,,,1,100.00%,,,6,40.00%,,,,,,,,,,,,,,1,,,2,1,50.00%,,,2,1,100.00%,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24902,TIJJANI,REIJNDERS,REIJNDERS T.,29-07-1998,132449,75,2,50,1,2.00%,48,96.00%,48,,,5,4,1,25.00%,11,1,9.09%,8,72.73%,3,37.50%,1,9.09%,1,100.00%,1,1,,1,0.000,0.000,0.180,0.000,0.025,0.000,0.000,0.000,411,,,,,,,,,,,5,3,60.00%,3,37.50%,,,,,,,,,,,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20888,JERDY,SCHOUTEN,SCHOUTEN J.,12-01-1997,132449,98,7,66,,,63,95.45%,58,1,1.72%,2,4,2,50.00%,6,,,3,50.00%,3,100.00%,3,50.00%,2,66.67%,1,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,1,1.72%,,,,,,,,,,,,,,,,,1,,1,50.00%,2,33.33%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36670,XAVI,SIMONS,SIMONS X.,21-04-2003,132449,89,4,41,5,12.20%,35,85.37%,46,1,2.17%,9,1,,,15,,,4,26.67%,1,25.00%,8,53.33%,2,25.00%,3,,1,1,0.070,0.000,0.894,0.082,0.588,-0.070,0.070,0.000,411,1,1,100.00%,1,25.00%,3,60.00%,8,17.39%,1,3,1,33.33%,9,225.00%,,,,,,,,,,,,1,,,2,13.33%,1,50.00%,,,,,,,,,,,,,,,3,,,1,33.33%,,,,,,,1,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
