Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,interventoPositivo,ammonizioni,espulsioni,doppieAmm,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,dribblingPositivo,dribblingPositivo_PERC,interventoNegativo,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,traversoni,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,inFuorigioco,assistVincenti,assistVincenti_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,tiroGolPiede,tiroGolPiede_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,thirdPass
7486,DANIEL,CARVAJAL RAMOS,CARVAJAL D.,11-01-1992,132450,132,3,47,2,4.26%,42,89.36%,1,2.63%,38,1,2.63%,4,4,100.00%,1,1,1,6,2,1,50.00%,1,50.00%,4,2,50.00%,4,4,4,100.00%,22,1,4.55%,6,27.27%,4,66.67%,9,150.00%,5,22.73%,2,40.00%,5,22.73%,3,60.00%,4,1,1,2,1,1,1,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23370,MARC,CUCURELLA SASETA,CUCURELLA M.,22-07-1998,132450,133,,55,1,1.82%,50,90.91%,1,2.13%,47,,,2,1,50.00%,,,,3,1,,,1,100.00%,4,3,75.00%,,3,1,33.33%,13,3,23.08%,9,69.23%,7,77.78%,3,33.33%,2,15.38%,1,50.00%,4,30.77%,3,75.00%,1,3,,,,,1,0.000,0.000,0.706,0.000,0.040,0.000,0.000,0.000,2,2,66.67%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7754,JOSE' IGNACIO,FERNANDEZ IGLESIAS,NACHO,18-01-1990,132450,86,2,32,,,30,93.75%,,,21,,,4,2,50.00%,,,,1,,,,,,8,3,37.50%,,1,1,100.00%,5,,,2,40.00%,,,1,50.00%,2,40.00%,2,100.00%,2,40.00%,,,,,,,,,1,0.000,0.000,1.167,0.000,0.953,0.000,0.000,0.000,2,1,100.00%,3,37.50%,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24662,PEDRO,GONZALEZ LOPEZ,PEDRI,25-11-2002,132450,8,,,,,,,1,50.00%,2,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,2,100.00%,,,,,,,,,1,50.00%,1,100.00%,,1,,,,,,0.138,0.227,0.000,0.000,-0.229,0.088,0.138,0.000,2,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13354,RODRIGO,HERNANDEZ CASCANTE,RODRI,22-06-1996,132450,133,4,77,1,1.30%,73,94.81%,2,3.51%,57,1,1.75%,1,,,2,,,4,1,,,1,100.00%,16,8,50.00%,,3,1,33.33%,20,3,15.00%,12,60.00%,5,41.67%,1,8.33%,2,10.00%,1,50.00%,10,50.00%,6,60.00%,2,3,,1,,,1,0.000,0.000,0.338,0.087,0.158,0.000,0.000,0.000,2,1,25.00%,3,18.75%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7904,AYMERIC JEAN LOUIS GERARD ALPHONSE,LAPORTE,LAPORTE A.,27-05-1994,132450,133,6,75,3,4.00%,67,89.33%,1,1.82%,55,3,5.45%,1,,,,,,3,2,1,50.00%,1,50.00%,9,3,33.33%,2,1,,,14,2,14.29%,11,78.57%,5,45.45%,,,7,50.00%,5,71.43%,2,14.29%,1,50.00%,,2,,,,,1,0.035,0.057,1.510,0.000,0.178,0.022,0.035,0.000,2,2,66.67%,1,11.11%,4,133.33%,1,1,100.00%,1,100.00%,1,100.00%,1,33.33%,2,100.00%,1,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24827,ROBIN AIME ROBERT,LE NORMAND,LE NORMAND R.,11-11-1996,132450,47,,26,,,24,92.31%,,,23,1,4.35%,2,,,,,,1,,,,,,3,,,,,,,3,,,1,33.33%,1,100.00%,1,100.00%,2,66.67%,1,50.00%,,,,,1,,,1,,,,0.000,0.000,0.000,0.000,-0.721,0.000,0.000,0.000,2,1,100.00%,,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13490,MIKEL,MERINO ZAZON,MERINO M.,22-06-1996,132450,52,3,27,2,7.41%,20,74.07%,4,13.79%,29,1,3.45%,1,,,2,,1,8,2,2,100.00%,,,1,1,100.00%,2,,,,8,,,4,50.00%,3,75.00%,2,50.00%,3,37.50%,3,100.00%,3,37.50%,,,,,,,,,1,0.272,0.702,0.228,0.085,-0.051,0.430,0.272,0.000,2,3,37.50%,,,4,50.00%,1,1,100.00%,,,,,,,1,50.00%,,,,,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,ALVARO BORJA,MORATA MARTIN,MORATA A.,23-10-1992,132450,81,1,24,2,8.33%,16,66.67%,5,16.13%,31,2,6.45%,3,1,33.33%,1,,,11,1,,,1,100.00%,1,,,,,,,13,3,23.08%,8,61.54%,1,12.50%,1,12.50%,6,46.15%,4,66.67%,3,23.08%,1,33.33%,1,3,,,,,,0.518,0.107,0.579,0.042,0.683,-0.411,0.518,0.000,2,3,27.27%,,,,,2,1,50.00%,1,50.00%,1,100.00%,1,50.00%,,,,,,,1,50.00%,,,,,,,,,,,,1,20.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23839,DANIEL,OLMO CARVAJAL,OLMO D.,07-05-1998,132450,126,3,46,8,17.39%,36,78.26%,5,10.42%,48,1,2.08%,3,1,33.33%,3,4,4,10,4,1,25.00%,3,75.00%,4,2,50.00%,8,1,1,100.00%,20,4,20.00%,11,55.00%,4,36.36%,4,36.36%,1,5.00%,,,5,25.00%,2,40.00%,1,4,,,,,1,0.273,0.844,0.752,0.197,0.787,0.571,0.273,0.000,2,5,50.00%,1,25.00%,6,60.00%,3,3,100.00%,1,33.33%,1,33.33%,4,50.00%,5,62.50%,,,,,2,66.67%,,,,1,33.33%,1,100.00%,,,2,66.67%,1,20.00%,,1,33.33%,2,50.00%,1,25.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
