Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,giochiPortiereRicevuti,traversoni,dribblingPositivo,dribblingPositivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,inFuorigioco,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,interventoPositivo,tiriDiTesta,tiriDiTesta_PERC,crossRiusciti,crossRiusciti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,triangolazione,triChiusa,triChiusa_PERC,ammonizioni,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,triFatta,triFatta_PERC,traversoniRiusciti,traversoniRiusciti_PERC,thirdPass,parataPiede,parataPiede_PERC
6345,BRUNO MIGUEL,BORGES FERNANDES,FERNANDES B.,08-09-1994,132451,74,3,1,33.33%,1,33.33%,2,66.67%,4,1,25.00%,60,11,18.33%,48,80.00%,5,45.45%,6,12.24%,1,16.67%,49,2,4.08%,1,1,100.00%,1,1,6,3,1,16.67%,1,33.33%,1,4,1,25.00%,2,50.00%,2,100.00%,1,50.00%,1,25.00%,1,100.00%,1,1,1,100.00%,1,33.33%,2,33.33%,0.234,0.346,1.815,0.031,2.049,0.112,0.234,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13033,NELSON,CABRAL SEMEDO,SEMEDO N.,16-11-1993,132451,50,,,,,,,,,,,27,2,7.41%,22,81.48%,,,2,9.09%,,,22,,,,,,2,3,,,,,,,1,9,,,6,66.67%,1,16.67%,1,16.67%,3,33.33%,3,100.00%,,,,,,,,,0.000,0.000,0.218,0.000,0.218,0.000,0.000,0.000,427,4,2,50.00%,1,11.11%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9759,JOAO PEDRO,CAVACO CANCELO,JOAO CANCELO,27-05-1994,132451,74,1,,,1,100.00%,,,3,1,33.33%,48,2,4.17%,40,83.33%,1,50.00%,1,2.56%,1,100.00%,39,1,2.56%,1,1,100.00%,1,2,2,3,,,1,33.33%,1,4,,,4,100.00%,1,25.00%,,,1,25.00%,1,100.00%,,,,,,,,,0.083,0.000,0.216,0.041,0.161,-0.083,0.083,0.000,427,1,,,1,25.00%,1,100.00%,1,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7473,RUBEN DIOGO,DA SILVA NEVES,NEVES R.,13-03-1997,132451,32,,,,,,,,3,,,39,1,2.56%,36,92.31%,,,,,,,39,,,,,,1,1,3,,,,,,,2,,,1,50.00%,1,100.00%,,,1,50.00%,1,100.00%,,,,,,,,,0.000,0.000,0.147,0.000,0.147,0.000,0.000,0.000,427,,,,1,50.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7483,KEPLER LAVERAN,DE LIMA FERREIRA,PEPE,26-02-1983,132451,124,,,,,,,,4,,,138,,,133,96.38%,,,,,,,127,1,0.79%,,,,,,2,3,1,50.00%,1,33.33%,,8,,,4,50.00%,,,,,2,25.00%,1,50.00%,1,,,,,,,,0.000,0.000,0.601,0.000,0.416,0.000,0.000,0.000,427,4,2,50.00%,1,12.50%,1,100.00%,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7490,CRISTIANO RONALDO,DOS SANTOS AVEIRO,CRISTIANO RONALDO,05-02-1985,132451,124,3,2,66.67%,2,66.67%,1,33.33%,,,,30,,,24,80.00%,,,7,21.21%,1,14.29%,33,3,9.09%,,,,,,11,4,1,9.09%,1,25.00%,1,16,2,12.50%,6,37.50%,1,16.67%,10,166.67%,7,43.75%,1,14.29%,2,2,1,50.00%,1,25.00%,2,18.18%,1.130,2.176,0.000,0.000,0.893,1.046,0.375,0.000,427,,,,4,25.00%,3,75.00%,1,,,,1,100.00%,1,1,33.33%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16957,RUBEN,DOS SANTOS GATO ALVES DIAS,RUBEN DIAS,14-05-1997,132451,124,,,,,,,,4,,,106,,,104,98.11%,,,,,,,100,,,,,,,,1,2,,,1,50.00%,,1,,,,,,,1,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,-0.102,0.000,0.000,0.000,427,,,,1,100.00%,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16515,JOAO,FELIX SEQUEIRA,JOAO FELIX,10-11-1999,132451,15,1,,,1,100.00%,,,,,,7,,,6,85.71%,,,2,40.00%,1,50.00%,5,1,20.00%,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.882,0.000,0.000,0.000,0.506,-0.882,0.126,0.000,427,1,1,100.00%,,,,,,,,,,,,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25459,FRANCISCO,FERNANDES DA CONCEICAO,CONCEICAO F.,14-12-2002,132451,49,1,,,1,100.00%,,,2,2,100.00%,33,4,12.12%,27,81.82%,2,50.00%,3,9.09%,,,33,,,2,2,100.00%,2,4,4,2,,,,,2,6,1,16.67%,3,50.00%,3,100.00%,1,33.33%,2,33.33%,1,50.00%,,1,,,,,,,0.000,0.000,0.549,0.103,0.550,0.000,0.000,0.000,427,1,1,100.00%,,,,,,1,1,50.00%,,,,,,,,,,,1,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900,RAFAEL,LEAO,LEAO R.,10-06-1999,132451,108,1,1,100.00%,1,100.00%,,,3,1,33.33%,37,9,24.32%,30,81.08%,3,33.33%,1,2.33%,1,100.00%,43,2,4.65%,2,1,50.00%,4,7,7,2,3,42.86%,,,5,13,,,4,30.77%,3,75.00%,7,175.00%,6,46.15%,2,33.33%,,,1,100.00%,,,2,28.57%,0.000,0.151,1.639,0.084,1.639,0.151,0.000,0.000,427,1,1,100.00%,1,7.69%,,,,,2,40.00%,,,,,,,,,,,1,25.00%,2,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15421,JOAO MARIA,LOBO ALVES PALHARES COSTA PALHINHA GONCALVES,PALHINHA J.,09-07-1995,132451,92,,,,,,,,1,,,69,,,63,91.30%,,,1,1.54%,,,65,1,1.54%,,,,,,4,1,,,,,,9,1,11.11%,5,55.56%,2,40.00%,3,60.00%,4,44.44%,3,75.00%,2,1,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,427,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25136,VITOR,MACHADO FERREIRA,VITINHA,13-02-2000,132451,122,2,1,50.00%,1,50.00%,1,50.00%,6,1,16.67%,109,7,6.42%,101,92.66%,2,28.57%,4,4.04%,1,25.00%,99,1,1.01%,,,,,1,4,7,1,25.00%,3,42.86%,1,7,3,42.86%,4,57.14%,4,100.00%,2,50.00%,1,14.29%,,,,3,1,100.00%,1,14.29%,2,50.00%,0.439,0.718,1.414,0.000,1.489,0.279,0.439,0.000,427,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16514,DIOGO,MEIRELES DA COSTA,DIOGO COSTA,19-09-1999,132451,124,,,,,,,,,,,31,,,31,100.00%,,,,,,,18,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.399,0.000,0.247,0.000,0.000,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,5,100.00%,3,15,3,100.00%,15,100.00%,13,7,53.85%,1,7.69%,5,100.00%,5,38.46%,6.178,1.178,,,,,,,
7413,BERNARDO,MOTA VEIGA DE CARVALHO E SILVA,BERNARDO SILVA,10-08-1994,132451,124,1,1,100.00%,1,100.00%,,,3,2,66.67%,85,8,9.41%,79,92.94%,4,50.00%,7,8.75%,1,14.29%,80,3,3.75%,3,2,66.67%,3,3,4,3,1,25.00%,1,33.33%,,6,2,33.33%,3,50.00%,1,33.33%,2,66.67%,3,50.00%,1,33.33%,,2,1,100.00%,1,33.33%,2,50.00%,0.847,1.034,1.553,0.145,0.961,0.187,0.092,0.000,427,1,1,100.00%,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
