Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,falliFatti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,triangolazione,triFatta,triFatta_PERC,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,interventoNegativo,tiri,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,ammonizioni,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,inFuorigioco,tiriInPorta,tiriInPorta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,triChiusa,triChiusa_PERC,crossRiusciti,crossRiusciti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,parataMano,parataMano_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,thirdPass,tiriDiRigore,tiriDiRigore_PERC,crossVincenti,crossVincenti_PERC
26457,JULIAN,ALVAREZ,ALVAREZ J.,31-01-2000,132452,33,5,3,60.00%,7,1,1,100.00%,3,1,33.33%,1,4,1,25.00%,1,100.00%,2,200.00%,2,50.00%,1,1,0.756,0.976,0.000,0.000,0.756,0.221,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11569,RODRIGO,DE PAUL,DE PAUL R.,24-05-1994,132452,101,39,29,74.36%,35,,,,1,1,100.00%,2,10,4,40.00%,3,75.00%,4,100.00%,1,10.00%,2,1,0.000,0.000,0.389,0.044,0.389,0.000,0.000,0.000,421,4,2,50.00%,3,7.69%,2,66.67%,1,2.86%,1,1,100.00%,1,1,2,2,100.00%,1,2,1,50.00%,2,100.00%,2,20.00%,2,20.00%,1,50.00%,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35040,ENZO,FERNANDEZ,FERNANDEZ E.,17-01-2001,132452,81,29,15,51.72%,27,,,,7,,,,6,3,50.00%,2,66.67%,3,100.00%,1,16.67%,,,0.202,0.000,0.552,0.000,0.507,-0.202,0.202,0.000,421,1,,,3,10.34%,,,5,18.52%,,,,,,,,,2,1,1,100.00%,,,1,16.67%,3,50.00%,1,33.33%,1,,2,2,100.00%,1,50.00%,1,20.00%,2,7.41%,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26456,NICOLAS,GONZALEZ,GONZALEZ N.,06-04-1998,132452,101,18,11,61.11%,22,,,,8,1,12.50%,2,14,4,28.57%,3,75.00%,8,200.00%,2,14.29%,4,1,0.000,0.000,0.723,0.000,0.529,0.000,0.000,0.000,421,,,,3,16.67%,1,33.33%,3,13.64%,,,,,,,,,1,3,,,1,50.00%,,,3,21.43%,2,66.67%,,,,,,,,1,33.33%,3,13.64%,1,100.00%,1,100.00%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14920,GIOVANI,LO CELSO,LO CELSO G.,09-04-1996,132452,20,7,4,57.14%,5,,,,1,,,1,1,,,,,1,,,,,1,0.000,0.000,0.000,0.000,-0.109,0.000,0.000,0.000,421,,,,,,,,,,,,,,,1,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32684,ALEXIS,MAC ALLISTER,MAC ALLISTER A.,24-12-1998,132452,101,40,35,87.50%,33,,,,3,1,33.33%,3,17,9,52.94%,4,44.44%,4,44.44%,,,2,1,0.756,0.985,0.552,0.055,0.772,0.230,0.000,0.000,421,4,1,25.00%,1,2.50%,1,100.00%,,,1,1,100.00%,,,,,,8,3,1,33.33%,1,33.33%,3,17.65%,6,35.29%,3,50.00%,3,,,,,,,,,2,6.06%,3,37.50%,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8278,DAMIAN EMILIANO,MARTINEZ,MARTINEZ E.,02-09-1992,132452,101,29,23,79.31%,15,,,,4,1,25.00%,,,,,,,,,,,,1,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,421,1,1,100.00%,4,13.79%,3,75.00%,,,1,1,100.00%,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,50.00%,1,1,11,1,100.00%,10,90.91%,17,2,11.76%,9,52.94%,1,100.00%,1,6,35.29%,4.836,1.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16755,LAUTARO JAVIER,MARTINEZ,LAUTARO MARTINEZ,22-08-1997,132452,67,19,14,73.68%,16,,,,7,1,14.29%,1,11,5,45.45%,4,80.00%,4,80.00%,1,9.09%,2,,0.153,0.000,0.000,0.000,0.153,-0.153,0.153,0.000,421,,,,,,,,3,18.75%,,,,,,,,,5,,,,1,100.00%,1,9.09%,6,54.55%,4,66.67%,1,,1,1,100.00%,,,1,33.33%,1,6.25%,4,80.00%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21433,LISANDRO,MARTINEZ,LISANDRO MARTINEZ,18-01-1998,132452,80,51,47,92.16%,42,3,,,2,1,50.00%,,8,7,87.50%,,,,,1,12.50%,,,0.152,0.137,0.616,0.000,0.216,-0.015,0.152,0.000,421,1,,,2,3.92%,1,50.00%,1,2.38%,,,,,,,,,5,,,,,,,,7,87.50%,6,85.71%,,,1,1,100.00%,1,100.00%,1,100.00%,1,2.38%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,
7421,LIONEL,MESSI,MESSI L.,24-06-1987,132452,101,27,23,85.19%,26,,,,1,,,,7,5,71.43%,,,2,40.00%,,,,1,0.870,0.270,0.871,0.051,1.461,-0.601,0.115,0.000,421,3,1,33.33%,4,14.81%,2,50.00%,2,7.69%,1,,,,,1,,,1,2,1,50.00%,,,3,42.86%,2,28.57%,1,50.00%,3,,1,1,100.00%,,,2,100.00%,2,7.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,
