Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,perdePalla,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistVincenti,assistVincenti_PERC,cross,palleLaterali,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,interventoPositivo,ammonizioni,retiSub,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveInArea,passChiaveInArea_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assistInArea,assistInArea_PERC,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,giochiPortiereRicevuti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,dribblingPositivo,dribblingPositivo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,inFuorigioco,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,thirdPass,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,interventoNegativo,tiroGolArea,tiroGolArea_PERC
48528,WILKER JOSE',ANGEL ROMERO,ANGEL W. J.,18-03-1993,132454,3,2,1,50.00%,2,1,0.756,0.967,0.000,0.000,0.756,0.212,0.000,0.000,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48466,JON MIKEL,ARAMBURU,ARAMBURU J.,23-07-2002,132454,99,57,38,66.67%,21,7,0.000,0.000,0.608,0.055,0.418,0.000,0.000,0.000,781,2,5,8.77%,1,20.00%,1,1,100.00%,2,2,3,3,100.00%,11,1,9.09%,1,11,2,18.18%,25,2,8.00%,17,68.00%,2,11.76%,5,29.41%,2,8.00%,1,50.00%,7,28.00%,5,71.43%,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45521,EDUARD,BELLO,BELLO E.,20-08-1995,132454,88,26,17,65.38%,21,7,0.107,0.553,1.823,0.048,1.343,0.445,0.107,0.000,781,1,11,42.31%,4,36.36%,1,,,1,1,2,,,1,,,,,,,6,,,1,16.67%,,,5,500.00%,2,33.33%,,,4,66.67%,1,25.00%,,,,,1,1,1,100.00%,1,100.00%,1,100.00%,1,4.76%,1,100.00%,5,23.81%,1,100.00%,1,100.00%,2,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60481,JHONDER LEONEL,CADIZ FERNANDEZ,CADIZ J.,29-07-1995,132454,35,14,9,64.29%,18,4,0.902,0.981,0.000,0.000,0.631,0.078,0.147,0.000,781,,1,7.14%,1,100.00%,,,,,,,,,1,,,,,,,10,1,10.00%,6,60.00%,5,83.33%,4,66.67%,7,70.00%,5,71.43%,2,20.00%,,,,1,,,,2,,,1,50.00%,,,3,16.67%,1,33.33%,2,11.11%,,,,,,,,,1,50.00%,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32689,CRISTIAN SLEIKER,CASSERES YEPES JR.,CASSERES C.,20-01-2000,132454,64,25,21,84.00%,17,5,0.000,0.000,0.197,0.000,0.197,0.000,0.000,0.000,781,1,1,4.00%,1,100.00%,,,,,,,,,5,3,60.00%,,1,1,100.00%,10,1,10.00%,5,50.00%,4,80.00%,2,40.00%,3,30.00%,1,33.33%,4,40.00%,3,75.00%,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,2,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32685,NAHUEL ADOLFO,FERRARESI HERNANDEZ,FERRARESI N.,19-11-1998,132454,99,68,60,88.24%,46,3,0.000,0.000,0.798,0.066,0.161,0.000,0.000,0.000,781,3,3,4.41%,2,66.67%,1,,,,,1,,,18,4,22.22%,1,3,2,66.67%,15,,,12,80.00%,3,25.00%,,,7,46.67%,6,85.71%,4,26.67%,4,100.00%,,,1,,1,,,,,,1,33.33%,,,,,2,4.35%,1,100.00%,,,1,100.00%,,,,,1,33.33%,5,,,1,100.00%,1,5.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15898,YANGEL,HERRERA,HERRERA Y.,07-01-1998,132454,99,46,29,63.04%,44,13,0.799,0.000,0.959,0.000,1.218,-0.799,0.043,0.000,781,1,5,10.87%,3,60.00%,,,,1,1,1,1,100.00%,5,3,60.00%,5,,,,18,3,16.67%,12,66.67%,8,66.67%,4,33.33%,3,16.67%,,,7,38.89%,5,71.43%,,3,,,1,1,,,,,,,3,6.82%,,,4,9.09%,,,,,,,,,1,100.00%,1,7.69%,,,,4,80.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60661,MATIAS RAFAEL,LACAVA GONZALEZ,LACAVA M.,24-10-2002,132454,11,1,,,3,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,1,100.00%,,,,,,,1,,,,,,,,,,,3,1,33.33%,1,33.33%,1,100.00%,2,200.00%,,,,,1,33.33%,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32688,JOSE' ANDRES,MARTINEZ TORRES,MARTINEZ J. A.,07-08-1994,132454,95,41,31,75.61%,28,8,0.134,0.000,0.231,0.076,0.365,-0.134,0.134,0.000,781,4,2,4.88%,1,50.00%,2,,,,,,,,8,5,62.50%,1,6,2,33.33%,22,2,9.09%,13,59.09%,6,46.15%,4,30.77%,4,18.18%,1,25.00%,9,40.91%,5,55.56%,,2,,,1,1,,,1,100.00%,,,1,3.57%,,,,,,,,,,,,,,,,,1,,,1,100.00%,3,37.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32687,MIGUEL ANGEL,NAVARRO ZARATE,NAVARRO M.,26-02-1999,132454,99,52,40,76.92%,39,6,0.073,0.000,0.495,0.037,0.010,-0.073,0.073,0.000,781,1,4,7.69%,2,50.00%,1,,,2,2,1,1,100.00%,3,2,66.67%,1,1,1,100.00%,12,,,5,41.67%,2,40.00%,6,120.00%,,,,,8,66.67%,5,62.50%,2,,,,1,1,,,1,100.00%,1,100.00%,1,2.56%,1,100.00%,2,5.13%,1,100.00%,1,50.00%,,,,,,,1,16.67%,,2,33.33%,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20504,YORDAN,OSORIO,OSORIO Y.,10-05-1994,132454,95,79,67,84.81%,53,4,0.000,0.000,0.689,0.000,0.339,0.000,0.000,0.000,781,1,3,3.80%,,,,,,,,,,,13,3,23.08%,1,1,,,14,,,8,57.14%,2,25.00%,3,37.50%,10,71.43%,6,60.00%,2,14.29%,1,50.00%,,,,,1,,,,,,,,,,,,1,1.89%,,,,,,,,,,,1,25.00%,11,2,50.00%,,,1,7.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6528,TOMAS,RINCON,RINCON T.,13-01-1988,132454,3,3,2,66.67%,3,1,0.756,0.893,0.000,0.000,0.756,0.138,0.000,0.000,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018,RAFAEL,ROMO,ROMO R.,25-02-1990,132454,99,40,34,85.00%,24,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,,,,,,,,,,,,,4,,,,1,,,1,,,1,100.00%,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,5,4,80.00%,6,19,4,66.67%,19,100.00%,15,5,33.33%,4,26.67%,3,75.00%,1,25.00%,1,6,40.00%,8.484,3.484,,,,,,,,,,,,,,,,,,,,,,
7958,SALOMON,RONDON,RONDON S.,16-09-1989,132454,99,24,14,58.33%,23,8,1.081,1.145,0.861,0.044,1.230,0.064,0.325,0.000,781,1,5,20.83%,2,40.00%,1,,,1,1,1,,,1,,,1,,,,14,,,10,71.43%,9,90.00%,4,40.00%,9,64.29%,7,77.78%,4,28.57%,3,75.00%,,,,,1,4,2,50.00%,2,50.00%,,,6,26.09%,2,33.33%,2,8.70%,,,,,1,100.00%,1,50.00%,2,50.00%,1,12.50%,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,4,100.00%,1,25.00%,1,100.00%,1,100.00%,1,50.00%,,,,,,,,,,
20457,JEFFERSON,SAVARINO,SAVARINO J.,11-11-1996,132454,11,1,,,1,,0.756,0.970,0.000,0.000,0.756,0.215,0.000,0.000,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20459,YEFERSON,SOTELDO,SOTELDO Y.,30-06-1997,132454,88,28,18,64.29%,38,8,0.140,0.087,1.505,0.068,1.373,-0.052,0.140,0.000,781,4,9,32.14%,4,44.44%,3,,,6,9,1,,,1,,,8,1,1,100.00%,22,2,9.09%,5,22.73%,5,100.00%,13,260.00%,2,9.09%,,,8,36.36%,1,12.50%,1,2,,,1,2,1,50.00%,1,50.00%,3,75.00%,4,10.53%,1,25.00%,3,7.89%,3,100.00%,2,33.33%,1,100.00%,1,100.00%,1,50.00%,2,25.00%,,,,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,100.00%,,,,,,,
47715,ALI,AHMED,AHMED A.,10-10-2000,132454,23,6,4,66.67%,7,1,0.122,0.000,0.211,0.029,0.166,-0.122,0.122,0.000,3914,2,2,33.33%,1,50.00%,1,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,1,,,,1,,,1,100.00%,1,50.00%,1,14.29%,,,,,1,100.00%,,,,,,,,,1,100.00%,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16511,STEPHEN,ANTUNES EUSTAQUIO,EUSTAQUIO S.,21-12-1996,132454,99,75,57,76.00%,58,9,0.756,0.921,0.442,0.022,1.197,0.166,0.000,0.000,3914,6,3,4.00%,,,1,,,,,2,2,100.00%,10,2,20.00%,3,5,4,80.00%,19,,,7,36.84%,4,57.14%,6,85.71%,4,21.05%,1,25.00%,5,26.32%,4,80.00%,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,22.22%,1,2,22.22%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36779,DEREK,CORNELIUS,CORNELIUS D.,25-11-1997,132454,99,48,31,64.58%,25,4,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,3914,6,1,2.08%,,,1,,,,,,,,7,,,,,,,15,,,8,53.33%,,,1,12.50%,8,53.33%,6,75.00%,3,20.00%,2,66.67%,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,3,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51059,MAXIME,CREPEAU,CREPEAU M.,11-05-1994,132454,99,31,25,80.65%,12,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,1,3.23%,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,3,37.50%,,2,25.00%,,,,,,3,4,4,3,75.00%,5,8,1,20.00%,7,87.50%,18,5,27.78%,4,22.22%,3,100.00%,,,1,9,50.00%,5.596,1.596,,,,,,,,,,,,,,,,,,,,,,
23346,JONATHAN,DAVID,DAVID J.,14-01-2000,132454,99,33,30,90.91%,43,12,0.973,1.413,0.327,0.149,1.009,0.440,0.217,0.000,3914,6,1,3.03%,1,100.00%,4,,,,,1,,,2,2,100.00%,2,1,,,18,1,5.56%,8,44.44%,6,75.00%,3,37.50%,4,22.22%,3,75.00%,9,50.00%,2,22.22%,1,1,,,1,3,1,33.33%,1,33.33%,1,16.67%,9,20.93%,,,,,1,25.00%,,,1,100.00%,,,2,66.67%,8,66.67%,1,,,1,50.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,
22446,ALPHONSO,DAVIES,DAVIES A.,02-11-2000,132454,99,55,46,83.64%,23,6,0.756,0.981,0.377,0.000,1.132,0.225,0.000,0.000,3914,1,2,3.64%,,,,,,,,,,,15,1,6.67%,6,,,,16,,,9,56.25%,2,22.22%,6,66.67%,1,6.25%,1,100.00%,8,50.00%,6,75.00%,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,50.00%,,2,33.33%,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
36781,ALISTAIR,JOHNSTON,JOHNSTON A.,08-10-1998,132454,99,54,40,74.07%,17,5,0.061,0.409,0.447,0.025,0.508,0.348,0.061,0.000,3914,1,3,5.56%,1,33.33%,1,,,1,1,,,,13,,,,4,1,25.00%,19,2,10.53%,13,68.42%,1,7.69%,,,5,26.32%,3,60.00%,6,31.58%,5,83.33%,2,2,,,1,1,1,100.00%,1,100.00%,1,100.00%,1,5.88%,1,100.00%,1,5.88%,1,100.00%,1,100.00%,,,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36785,ISMAEL,KONE',KONE' I.,16-06-2002,132454,14,8,7,87.50%,6,,0.825,0.970,0.000,0.000,0.681,0.144,0.070,0.000,3914,,,,,,,,,,,,,,1,,,,,,,2,,,1,50.00%,1,100.00%,,,1,50.00%,,,1,50.00%,1,100.00%,,,,,,1,,,,,,,1,16.67%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28652,CYLE,LARIN,LARIN C.,17-04-1995,132454,75,19,10,52.63%,30,16,0.334,0.488,0.102,0.000,0.244,0.153,0.334,0.000,3914,,1,5.26%,1,100.00%,,,,,,1,1,100.00%,2,,,5,,,,22,,,6,27.27%,3,50.00%,12,200.00%,12,54.55%,4,33.33%,5,22.73%,,,,,,,1,2,1,50.00%,2,100.00%,,,6,20.00%,1,16.67%,1,3.33%,,,,,,,1,100.00%,,,4,25.00%,1,6,37.50%,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36782,RICHIE,LARYEA,LARYEA R.,07-01-1995,132454,75,9,7,77.78%,11,2,0.143,0.000,0.790,0.070,0.932,-0.143,0.143,0.000,3914,2,3,33.33%,2,66.67%,2,,,,2,,,,1,,,,3,1,33.33%,10,,,3,30.00%,1,33.33%,2,66.67%,1,10.00%,,,6,60.00%,1,16.67%,1,,,,1,2,,,1,50.00%,2,100.00%,1,9.09%,,,1,9.09%,2,100.00%,,,,,,,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,,,
49309,MOISE BOMBITO,LUMPUNGU,BOMBITO M.,30-03-2000,132454,99,39,29,74.36%,17,1,0.756,0.981,0.000,0.000,0.756,0.225,0.000,0.000,3914,2,,,,,,,,,,,,,8,2,25.00%,,1,1,100.00%,11,,,5,45.45%,,,,,6,54.55%,2,33.33%,4,36.36%,3,75.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30927,LIAM,MILLAR,MILLAR L.,27-09-1999,132454,33,10,9,90.00%,17,3,0.992,0.861,0.329,0.034,1.202,-0.131,0.236,0.000,3914,1,1,10.00%,,,1,,,1,1,1,,,,,,4,1,,,8,1,12.50%,3,37.50%,2,66.67%,3,100.00%,,,,,2,25.00%,,,,1,,,1,2,2,100.00%,2,100.00%,,,3,17.65%,1,33.33%,1,5.88%,,,,,1,100.00%,2,100.00%,,,1,33.33%,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56002,TANITOLUWA,OLUWATIMIKHIN OLUWASEYI,OLUWASEYI T.,15-05-2000,132454,23,4,2,50.00%,8,4,0.259,0.000,0.000,0.000,0.099,-0.259,0.259,0.000,3914,,,,,,,,,,,,,,1,,,,,,,6,,,1,16.67%,1,100.00%,5,500.00%,4,66.67%,1,25.00%,2,33.33%,,,,,,,,2,,,2,100.00%,,,2,25.00%,1,50.00%,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36786,JONATHAN,OSORIO,OSORIO J.,12-06-1992,132454,85,26,19,73.08%,23,3,0.000,0.000,0.137,0.000,0.137,0.000,0.000,0.000,3914,1,1,3.85%,,,,,,,,,,,,,,1,3,1,33.33%,11,1,9.09%,6,54.55%,1,16.67%,3,50.00%,1,9.09%,,,4,36.36%,2,50.00%,1,1,,,1,,,,,,,,1,4.35%,,,,,,,,,,,,,,,3,100.00%,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
51325,JACOB,SHAFFELBURG,SHAFFELBURG J.,26-11-1999,132454,66,18,7,38.89%,26,15,0.553,1.462,0.840,0.035,1.074,0.908,0.553,0.000,3914,1,4,22.22%,,,1,,,1,3,1,,,2,1,50.00%,4,1,,,14,1,7.14%,5,35.71%,2,40.00%,8,160.00%,2,14.29%,1,50.00%,5,35.71%,1,20.00%,1,1,,1,,2,2,100.00%,2,100.00%,,,4,15.38%,1,25.00%,1,3.85%,,,,,1,100.00%,2,100.00%,,,3,20.00%,,2,13.33%,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,1,100.00%,,,2,,,,,,,,1,100.00%
