Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,thirdPass,perdePalla,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,golProcurati,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,perdeMetaCampoProria,perdeMetaCampoProria_PERC,inFuorigioco,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriDiRigore,tiriDiRigore_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,triangolazione,triChiusa,triChiusa_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,thirdPassVincenti,thirdPassVincenti_PERC,cross,traversoni,palleLaterali,tiroGolTesta,tiroGolTesta_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriDaFuori,tiriDaFuori_PERC,assist,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,triFatta,triFatta_PERC,assistVincenti,assistVincenti_PERC,crossRiusciti,crossRiusciti_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoniRiusciti,traversoniRiusciti_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,ammonizioni,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,retiSub,interventoNegativo,cutBack,uscite,tiriRigoreSubiti,rinvioMano,rinvioMano_PERC,retiSubGK
52201,JHON,ARIAS,ARIAS J.,21-09-1997,132455,67,1,1,100.00%,1,20,1,5.00%,17,85.00%,3,14.29%,21,1,4.76%,1,2,1,1,1,100.00%,1,1,100.00%,12,3,25.00%,9,75.00%,6,66.67%,1,11.11%,1,8.33%,1,100.00%,4,33.33%,4,100.00%,2,3,1,0.087,0.000,0.467,0.000,0.313,-0.087,0.087,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10386,SANTIAGO,ARIAS NARANJO,ARIAS S.,13-01-1992,132455,22,,,,,11,,,8,72.73%,1,10.00%,10,,,,4,1,,,,,,,6,1,16.67%,2,33.33%,1,50.00%,1,50.00%,1,16.67%,1,100.00%,2,33.33%,,,2,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,2,50.00%,1,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16565,MIGUEL,BORJA,BORJA M.,26-01-1993,132455,16,1,1,100.00%,,1,,,1,100.00%,,,3,,,,1,,,,,,,,5,,,1,20.00%,1,100.00%,4,400.00%,2,40.00%,,,3,60.00%,1,33.33%,,,,0.756,0.977,0.000,0.000,0.756,0.221,0.000,0.000,414,,,1,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31361,JORGE,CARRASCAL,CARRASCAL J.,25-05-1998,132455,29,,,,,12,1,8.33%,10,83.33%,1,10.00%,10,1,10.00%,,3,3,1,,,,,,5,,,2,40.00%,1,50.00%,2,100.00%,,,,,3,60.00%,2,66.67%,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,1,33.33%,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,2,2,100.00%,2,66.67%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15095,JHON ANDRES,CORDOBA COPETE,CORDOBA J.,11-05-1993,132455,80,1,1,100.00%,1,16,2,12.50%,11,68.75%,3,21.43%,14,2,14.29%,1,4,2,2,2,100.00%,,,,18,,,8,44.44%,6,75.00%,10,125.00%,8,44.44%,4,50.00%,6,33.33%,2,33.33%,2,,,0.397,0.852,0.339,0.000,0.413,0.454,0.397,0.000,414,,,,,,1,100.00%,,,1,100.00%,1,100.00%,,,,,1,100.00%,,,1,33.33%,,,,1,50.00%,,,1,100.00%,2,1,50.00%,1,100.00%,1,1,2,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21776,CARLOS ECCEHOMO,CUESTA FIGUEROA,CUESTA C.,09-03-1999,132455,96,,,,1,38,,,38,100.00%,,,32,,,,,4,1,1,100.00%,,,,4,2,50.00%,4,100.00%,,,,,,,,,1,25.00%,1,100.00%,,2,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20505,LUIS FERNANDO,DIAZ MARULANDA,DIAZ L. F.,13-01-1997,132455,67,1,,,2,18,1,5.56%,15,83.33%,6,27.27%,22,1,4.55%,,3,1,2,2,100.00%,,,,17,4,23.53%,9,52.94%,7,77.78%,7,77.78%,2,11.76%,,,7,41.18%,3,42.86%,2,4,,0.117,0.149,0.342,0.037,0.082,0.031,0.117,0.000,414,1,33.33%,,,,1,100.00%,,,1,100.00%,,,,,1,100.00%,,,,,,,,,,1,100.00%,,,,,3,3,100.00%,,,,,,,,,,1,100.00%,1,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16564,JOHAN,MOJICA,MOJICA J.,21-08-1992,132455,96,1,,,2,50,1,2.00%,38,76.00%,1,2.78%,36,1,2.78%,,7,5,,,,4,1,25.00%,7,1,14.29%,6,85.71%,2,33.33%,1,16.67%,1,14.29%,1,100.00%,1,14.29%,1,100.00%,,1,,0.022,0.049,0.341,0.000,0.363,0.027,0.022,0.000,414,2,28.57%,,4,57.14%,1,100.00%,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,1,100.00%,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30367,DANIEL,MUNOZ,MUNOZ D.,26-05-1996,132455,74,,,,2,30,2,6.67%,25,83.33%,2,10.53%,19,,,,3,1,,,,1,,,7,3,42.86%,4,57.14%,1,25.00%,3,75.00%,2,28.57%,,,,,,,1,3,,0.000,0.000,0.504,0.028,0.504,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53534,JUAN FERNANDO,QUINTERO PANIAGUA,QUINTERO J.,18-01-1993,132455,22,,,,3,15,1,6.67%,15,100.00%,1,7.69%,13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
