Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,duelliAereiVinti,duelliAereiVinti_PERC,inFuorigioco,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,triangolazione,triChiusa,triChiusa_PERC,ammonizioni,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,triFatta,triFatta_PERC,traversoni,interventoNegativo,espulsioni,tiriInPorta,tiriInPorta_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,thirdPass,tiriInPortaDaArea,tiriInPortaDaArea_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC
45313,MAXIMILIANO,ARAUJO,ARAUJO M.,15-02-2000,132456,97,2,1,50.00%,1,50.00%,2,15,14,93.33%,3,17.65%,17,1,4,6,1,25.00%,2,33.33%,1,1,100.00%,1,1,100.00%,14,3,21.43%,6,42.86%,3,50.00%,6,100.00%,1,7.14%,7,50.00%,2,28.57%,1,3,1,16.67%,0.108,0.000,0.000,0.000,0.108,-0.108,0.108,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24553,RONALD,ARAUJO,ARAUJO R.,07-03-1999,132456,33,,,,,,,22,15,68.18%,,,15,1,4,4,,,1,25.00%,,,,1,1,100.00%,5,,,2,40.00%,,,1,50.00%,2,40.00%,1,20.00%,1,100.00%,1,,,,0.000,0.000,0.124,0.000,-0.203,0.000,0.000,0.000,246,1,4.55%,2,13.33%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14080,RODRIGO,BENTANCUR,BENTANCUR R.,25-06-1997,132456,29,,,,,,1,4,3,75.00%,,,3,,1,1,,,,,,,,,,,4,,,2,50.00%,1,50.00%,2,100.00%,2,50.00%,1,25.00%,1,100.00%,1,,,,0.756,0.988,0.261,0.000,1.016,0.232,0.000,0.000,246,1,25.00%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45207,SEBASTIAN,CACERES,CACERES S.,18-08-1999,132456,50,,,,,,1,8,7,87.50%,,,6,,2,2,1,50.00%,,,,,,1,,,7,2,28.57%,5,71.43%,,,2,40.00%,1,14.29%,2,28.57%,2,100.00%,1,2,,,0.000,0.000,0.000,0.000,-0.161,0.000,0.000,0.000,246,,,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13443,GIORGIAN,DE ARRASCAETA,DE ARRASCAETA G.,01-06-1994,132456,17,,,,,,,2,2,100.00%,2,50.00%,4,,3,,1,33.33%,,,,,,,,,4,,,,,,,3,,2,50.00%,2,50.00%,,,,,,,0.756,0.970,0.180,0.000,0.935,0.215,0.000,0.000,246,1,50.00%,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26462,NICOLAS,DE LA CRUZ,DE LA CRUZ N.,01-06-1997,132456,68,,,,,,6,29,23,79.31%,4,14.29%,28,,7,,2,28.57%,,,,,,2,1,50.00%,16,3,18.75%,5,31.25%,4,80.00%,6,120.00%,1,6.25%,6,37.50%,1,16.67%,6,3,,,0.000,0.000,1.913,0.112,1.913,0.000,0.000,0.000,246,11,37.93%,,,,,,7,63.64%,3,50.00%,3,2,66.67%,2,1,50.00%,2,1,1,100.00%,1,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7671,JOSE' MARIA,GIMENEZ,GIMENEZ J.,20-01-1995,132456,64,,,,,,1,24,15,62.50%,,,15,1,3,3,,,,,1,1,100.00%,3,2,66.67%,12,,,6,50.00%,2,33.33%,3,50.00%,5,41.67%,2,16.67%,1,50.00%,1,,,,0.756,0.974,0.000,0.000,0.576,0.218,0.000,0.000,246,,,1,6.67%,3,60.00%,,,,,,,,,,,,,2,1,50.00%,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13863,NAHITAN,NANDEZ,NANDEZ N.,28-12-1995,132456,73,,,,,,1,27,17,62.96%,2,14.29%,14,,9,6,1,11.11%,,,2,2,100.00%,6,4,66.67%,21,2,9.52%,12,57.14%,6,50.00%,2,16.67%,2,9.52%,5,23.81%,4,80.00%,4,2,,,0.000,0.000,0.299,0.110,0.299,0.000,0.000,0.000,246,5,18.52%,,,2,100.00%,,1,20.00%,1,100.00%,1,1,100.00%,2,1,50.00%,3,,,,,2,22.22%,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24912,DARWIN,NUNEZ,NUNEZ D.,24-06-1999,132456,80,3,3,100.00%,,,3,12,9,75.00%,7,30.43%,23,1,6,1,,,1,100.00%,3,1,33.33%,1,1,100.00%,18,1,5.56%,6,33.33%,4,66.67%,11,183.33%,7,38.89%,6,33.33%,3,50.00%,,1,1,100.00%,0.511,0.917,0.327,0.040,-0.230,0.407,0.511,0.000,246,1,8.33%,6,26.09%,1,14.29%,,,,,,1,,,,,,,,,,,,,,,,,,2,66.67%,2,66.67%,4,57.14%,1,100.00%,1,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23369,MATHIAS,OLIVERA MIRAMONTES,OLIVERA M.,31-10-1997,132456,97,1,1,100.00%,,,1,33,25,75.76%,2,11.11%,18,2,5,9,2,40.00%,,,2,2,100.00%,1,1,100.00%,19,,,13,68.42%,2,15.38%,5,38.46%,4,21.05%,10,52.63%,7,70.00%,2,,,,0.215,0.000,0.000,0.000,0.009,-0.215,0.215,0.000,246,2,6.06%,1,5.56%,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
