Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,traversoni,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passChiaveRicevuti,passChiaveRicevuti_PERC,thirdPass,triangolazione,triChiusa,triChiusa_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,assist,cross,ammonizioni,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,triFatta,triFatta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,crossRiusciti,crossRiusciti_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,thirdPassVincenti,thirdPassVincenti_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,uscite,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC
23370,MARC,CUCURELLA SASETA,CUCURELLA M.,22-07-1998,132627,98,62,5,8.06%,52,83.87%,45,2,4.44%,1,1,2,6,6,1,16.67%,1,16.67%,2,1,50.00%,2,1,50.00%,13,2,15.38%,7,53.85%,4,57.14%,2,28.57%,2,15.38%,4,30.77%,3,75.00%,1,2,1,2,33.33%,0.000,0.000,0.330,0.000,0.220,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7754,JOSE' IGNACIO,FERNANDEZ IGLESIAS,NACHO,18-01-1990,132627,98,45,,,42,93.33%,40,,,6,,,3,1,1,33.33%,,,1,1,100.00%,2,1,50.00%,8,1,12.50%,3,37.50%,,,2,66.67%,2,25.00%,1,12.50%,,,1,1,1,2,66.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13354,RODRIGO,HERNANDEZ CASCANTE,RODRI,22-06-1996,132627,98,56,1,1.79%,53,94.64%,47,,,1,,,2,6,,,2,33.33%,2,1,50.00%,1,1,100.00%,6,,,3,50.00%,1,33.33%,3,100.00%,1,16.67%,2,33.33%,2,100.00%,,,1,,,0.000,0.000,0.194,0.000,0.070,0.000,0.000,0.000,2,2,2,4.26%,1,1,1,100.00%,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7904,AYMERIC JEAN LOUIS GERARD ALPHONSE,LAPORTE,LAPORTE A.,27-05-1994,132627,98,84,1,1.19%,79,94.05%,69,1,1.45%,9,,,4,9,1,25.00%,1,11.11%,2,2,100.00%,,,,7,1,14.29%,5,71.43%,1,20.00%,2,40.00%,2,28.57%,2,28.57%,1,50.00%,,1,1,2,50.00%,0.000,0.000,0.000,0.000,-0.191,0.000,0.000,0.000,2,4,,,,,,,,,1,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13490,MIKEL,MERINO ZAZON,MERINO M.,22-06-1996,132627,20,15,,,13,86.67%,16,,,,,,2,,,,,,,,,,,,7,1,14.29%,4,57.14%,4,100.00%,2,50.00%,4,57.14%,2,28.57%,1,50.00%,,1,,,,0.000,0.000,0.107,0.037,0.107,0.000,0.000,0.000,2,2,2,12.50%,,,,,,,2,50.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,ALVARO BORJA,MORATA MARTIN,MORATA A.,23-10-1992,132627,78,8,,,8,100.00%,13,2,15.38%,,,,5,2,2,40.00%,1,50.00%,1,,,2,2,100.00%,16,4,25.00%,5,31.25%,2,40.00%,5,100.00%,3,18.75%,4,25.00%,1,25.00%,3,4,1,2,40.00%,0.000,0.000,0.000,0.000,-0.515,0.000,0.000,0.000,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7709,JESUS,NAVAS,JESUS NAVAS,21-11-1985,132627,59,19,2,10.53%,14,73.68%,15,,,1,1,3,2,1,,,,,1,1,100.00%,1,1,100.00%,5,1,20.00%,2,40.00%,,,1,50.00%,,,1,20.00%,,,1,1,1,,,0.000,0.000,0.572,0.000,0.572,0.000,0.000,0.000,2,,1,6.67%,,1,1,100.00%,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23839,DANIEL,OLMO CARVAJAL,OLMO D.,07-05-1998,132627,78,40,2,5.00%,35,87.50%,39,1,2.56%,1,,,3,1,,,,,3,2,66.67%,3,,,11,1,9.09%,8,72.73%,5,62.50%,3,37.50%,1,9.09%,3,27.27%,1,33.33%,,1,1,,,0.094,0.145,0.530,0.000,0.505,0.051,0.094,0.094,2,1,9,23.08%,,,,,,,1,100.00%,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13414,MIKEL,OYARZABAL UGARTE,OYARZABAL M.,21-04-1997,132627,20,8,1,12.50%,8,100.00%,11,,,1,,,2,,1,50.00%,,,,,,,,,4,,,1,25.00%,1,100.00%,3,300.00%,2,50.00%,1,25.00%,,,1,,,,,0.000,0.000,0.110,0.000,0.003,0.000,0.000,0.000,2,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16756,FABIAN,RUIZ,FABIAN RUIZ,03-04-1996,132627,98,70,3,4.29%,59,84.29%,63,3,4.76%,1,,1,6,2,1,16.67%,,,3,1,33.33%,,,,4,,,1,25.00%,1,100.00%,2,200.00%,,,1,25.00%,,,,,1,2,33.33%,0.737,0.000,0.441,0.000,0.835,-0.737,0.737,0.676,2,4,4,6.35%,,1,,,,,,,,,,,1,,2,,,1,50.00%,,,,,,,,,1,33.33%,,,1,50.00%,1,50.00%,1,25.00%,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
