Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,thirdPass,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliSubiti,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,tiri,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,falliFatti,interventoPositivo,interventoNegativo,ammonizioni,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriInPorta,tiriInPorta_PERC,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,triChiusa,triChiusa_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriDiRigore,tiriDiRigore_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,rinvioPiede,rinvioPiede_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC
8284,NATHAN,AKE',AKE' N.,18-02-1995,132628,98,1,39,4,10.26%,36,92.31%,1,25.00%,1,2.94%,34,3,8.82%,2,1,1,2,1,1,100.00%,2,1,1,100.00%,1,3,3,100.00%,1,33.33%,1,33.33%,1,100.00%,2,0.000,0.000,0.829,0.000,0.441,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24660,BRIAN,BROBBEY,BROBBEY B.,01-02-2002,132628,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,STEFAN,DE VRIJ,DE VRIJ S.,05-02-1992,132628,98,3,62,,,59,95.16%,,,,,49,,,4,,,,,,,6,,,,,11,7,63.64%,2,28.57%,5,45.45%,3,60.00%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,1,1,9.09%,1,14.29%,5,45.45%,3,60.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,MEMPHIS,DEPAY,DEPAY M.,13-02-1994,132628,34,1,8,1,12.50%,5,62.50%,1,100.00%,5,55.56%,9,,,1,,,3,,,,,,,,,1,,,,,1,100.00%,,,1,0.000,0.000,0.126,0.074,0.126,0.000,0.000,0.000,411,,,,,,,,,,,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17370,DENZEL,DUMFRIES,DUMFRIES D.,18-04-1996,132628,96,2,29,,,26,89.66%,,,2,6.45%,31,2,6.45%,3,,1,4,,,,2,1,,,2,13,5,38.46%,3,60.00%,4,30.77%,2,50.00%,2,0.194,0.000,0.000,0.000,-0.184,-0.194,0.194,0.194,411,,,,3,60.00%,4,30.77%,2,50.00%,,,,,,,2,2,100.00%,2,100.00%,2,100.00%,2,66.67%,2,50.00%,1,50.00%,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17859,CODY,GAKPO,GAKPO C.,07-05-1999,132628,98,,15,3,20.00%,12,80.00%,1,33.33%,2,11.11%,18,1,5.56%,,3,3,7,,,,3,1,,,3,15,6,40.00%,2,33.33%,6,40.00%,3,50.00%,2,0.000,0.000,0.721,0.000,0.721,0.000,0.000,0.000,411,,2,13.33%,4,66.67%,,,,,2,,,,,,,,,,,,,,,4,57.14%,2,66.67%,3,,,,1,33.33%,6,85.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17372,DONYELL,MALEN,MALEN D.,19-01-1999,132628,48,,4,,,4,100.00%,,,1,11.11%,9,1,11.11%,1,,,4,,,,,,,,,4,2,50.00%,,,3,75.00%,2,66.67%,1,0.100,0.416,0.000,0.000,-0.027,0.316,0.100,0.100,411,,,,1,50.00%,1,25.00%,,,,,,,,,1,1,100.00%,,,1,100.00%,1,100.00%,2,50.00%,,,,,,,,,2,50.00%,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24902,TIJJANI,REIJNDERS,REIJNDERS T.,29-07-1998,132628,98,3,42,1,2.38%,39,92.86%,,,1,2.70%,37,,,1,1,1,3,,,,2,2,2,100.00%,2,5,4,80.00%,1,25.00%,,,,,2,0.000,0.000,0.228,0.000,0.228,0.000,0.000,0.000,411,,,,1,25.00%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20888,JERDY,SCHOUTEN,SCHOUTEN J.,12-01-1997,132628,98,6,55,,,53,96.36%,,,1,2.17%,46,,,3,,,1,,,,7,1,1,100.00%,1,9,6,66.67%,1,16.67%,4,44.44%,4,100.00%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,1,11.11%,1,16.67%,,,,,1,,,,,,,,,,,,,,,,,1,100.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36670,XAVI,SIMONS,SIMONS X.,21-04-2003,132628,96,1,40,2,5.00%,34,85.00%,2,100.00%,5,11.90%,42,,,2,,1,7,1,,,2,1,,,1,10,5,50.00%,3,60.00%,6,60.00%,3,50.00%,2,0.151,0.278,0.186,0.027,0.337,0.127,0.151,0.151,411,,2,20.00%,1,20.00%,,,,,2,1,100.00%,1,1,100.00%,2,1,50.00%,,,,,,,1,14.29%,1,100.00%,,,,1,,,,,2,100.00%,,1,50.00%,1,50.00%,1,100.00%,1,50.00%,1,50.00%,1,100.00%,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8564,VIRGIL,VAN DIJK,VAN DIJK V.,08-07-1991,132628,98,,69,,,64,92.75%,,,1,1.92%,52,1,1.92%,7,,,1,,,,6,,,,,7,4,57.14%,1,25.00%,4,57.14%,2,50.00%,2,0.124,0.075,0.000,0.000,-0.053,-0.049,0.124,0.000,411,,,,,,3,42.86%,2,66.67%,,,,,,,1,1,100.00%,,,1,100.00%,,,,,,,,,,1,,,,,1,100.00%,,1,100.00%,,,,,,,,,,,,,,,4,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
