Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,cross,crossRiusciti,crossRiusciti_PERC,cutBack,palleLaterali,triChiusa,triChiusa_PERC,inFuorigioco,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiaveInArea,passChiaveInArea_PERC,giochiPortiereRicevuti,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,ammonizioni,traversoni,retiSub,lanciPositivi,lanciPositivi_PERC,parataMano,parataMano_PERC,retiSubGK,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC
26457,JULIAN,ALVAREZ,ALVAREZ J.,31-01-2000,132629,80,3,2,66.67%,2,66.67%,1,33.33%,13,9,69.23%,6,42.86%,14,5,1,1,100.00%,3,1,20.00%,1,33.33%,1,1,100.00%,2,1,50.00%,8,1,12.50%,5,62.50%,3,60.00%,1,20.00%,3,37.50%,2,66.67%,1,1,1,33.33%,1,100.00%,1,100.00%,2,100.00%,0.375,0.330,0.207,0.000,0.582,-0.044,0.375,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11569,RODRIGO,DE PAUL,DE PAUL R.,24-05-1994,132629,97,,,,,,,,61,47,77.05%,2,3.39%,59,7,5,4,80.00%,3,3,42.86%,2,66.67%,1,,,5,2,40.00%,16,4,25.00%,8,50.00%,3,37.50%,3,37.50%,5,31.25%,1,20.00%,1,4,,,,,,,,,0.000,0.000,0.618,0.109,0.470,0.000,0.000,0.000,421,6,4,6.56%,1,25.00%,2,3.39%,2,1,50.00%,1,1,100.00%,2,3,1,20.00%,1,1,33.33%,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,ANGEL,DI MARIA,DI MARIA A.,14-02-1988,132629,81,1,,,,,1,100.00%,26,20,76.92%,2,7.69%,26,5,3,1,33.33%,3,1,20.00%,,,4,2,50.00%,2,2,100.00%,8,1,12.50%,3,37.50%,1,33.33%,4,133.33%,1,12.50%,,,,1,,,,,,,,,0.046,0.000,0.412,0.107,0.459,-0.046,0.046,0.000,421,3,2,7.69%,1,50.00%,1,3.85%,3,,,,,,1,1,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35040,ENZO,FERNANDEZ,FERNANDEZ E.,17-01-2001,132629,97,,,,,,,,67,62,92.54%,2,3.92%,51,2,,,,9,,,3,33.33%,,,,3,1,33.33%,7,1,14.29%,6,85.71%,,,,,2,28.57%,2,100.00%,,1,,,,,,,,,0.000,0.000,0.291,0.226,0.291,0.000,0.000,0.000,421,7,1,1.49%,1,100.00%,,,2,1,50.00%,,,,,,,,,,,,,1,14.29%,1,1,50.00%,1,100.00%,1,14.29%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26456,NICOLAS,GONZALEZ,GONZALEZ N.,06-04-1998,132629,16,,,,,,,,2,1,50.00%,,,1,,,,,1,,,,,,,,1,,,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32684,ALEXIS,MAC ALLISTER,MAC ALLISTER A.,24-12-1998,132629,80,,,,,,,,18,15,83.33%,1,6.25%,16,3,1,,,1,2,66.67%,,,1,,,,,,7,,,2,28.57%,,,,,3,42.86%,2,66.67%,1,,,,,,,,,,0.000,0.000,0.264,0.042,0.076,0.000,0.000,0.000,421,3,,,,,1,6.25%,1,,,,,,,,1,100.00%,,,,4,133.33%,,,,,,,,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8278,DAMIAN EMILIANO,MARTINEZ,MARTINEZ E.,02-09-1992,132629,97,,,,,,,,44,40,90.91%,,,34,4,,,,5,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,,1,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,100.00%,1,32,32,100.00%,11,3,27.27%,2,18.18%,1,50.00%,6,54.55%,1.764,1.764,,,,,,,,,,,,,,,,
16755,LAUTARO JAVIER,MARTINEZ,LAUTARO MARTINEZ,22-08-1997,132629,17,,,,,,,,3,3,100.00%,1,20.00%,5,1,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,1,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21433,LISANDRO,MARTINEZ,LISANDRO MARTINEZ,18-01-1998,132629,97,1,,,1,100.00%,,,73,66,90.41%,1,1.64%,61,4,,,,5,1,25.00%,1,20.00%,,,,,,,1,,,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,,,,,,0.068,0.000,0.000,0.000,-0.222,-0.068,0.068,0.000,421,2,1,1.37%,,,1,1.64%,,,,,,,,,,,,1,20.00%,,,,,13,,,,,,,,,,,,,,,,,,,2,,,,,,,2,100.00%,,,1,100.00%,1,100.00%,,,,,,,,,,,,
7421,LIONEL,MESSI,MESSI L.,24-06-1987,132629,97,4,1,25.00%,2,50.00%,2,50.00%,31,24,77.42%,10,27.03%,37,5,,,,,1,20.00%,,,3,1,33.33%,2,2,100.00%,9,2,22.22%,3,33.33%,2,66.67%,5,166.67%,2,22.22%,,,,2,1,25.00%,1,100.00%,1,100.00%,1,100.00%,0.933,0.956,0.835,0.052,0.948,0.023,0.933,0.000,421,3,7,22.58%,3,42.86%,1,2.70%,2,,,,,,,,,,,,,,,2,66.67%,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.00%,,,,,,,,,,,,
23982,NAHUEL,MOLINA,MOLINA N.,06-04-1998,132629,24,,,,,,,,13,10,76.92%,,,5,1,,,,3,,,,,,,,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
