Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,traversoni,cutBack,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,falliFatti,falliSubiti,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackleVinti,duelliTackleVinti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,giochiPortiereRicevuti,traversoniRiusciti,traversoniRiusciti_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,ammonizioni,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,cutBackRiusciti,cutBackRiusciti_PERC,parate,uscite,interventoPositivo,interventoNegativo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,espulsioni,thirdPass,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoCorner,golSviluppoCorner_PERC,doppieAmm,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,lanciPositivi,lanciPositivi_PERC,rinvioPiede,rinvioPiede_PERC
45313,MAXIMILIANO,ARAUJO,ARAUJO M.,15-02-2000,132630,102,1,1,100.00%,1,100.00%,3,1,33.33%,28,9,32.14%,20,71.43%,5,55.56%,7,20.00%,2,28.57%,35,5,14.29%,3,1,33.33%,3,2,66.67%,1,1,5,10,1,1,10.00%,3,1,10,2,20.00%,3,30.00%,2,66.67%,4,133.33%,1,10.00%,2,20.00%,1,2,1,1,100.00%,1,0.031,0.372,1.741,0.108,1.560,0.341,0.031,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14080,RODRIGO,BENTANCUR,BENTANCUR R.,25-06-1997,132630,34,,,,,,3,,,18,,,12,66.67%,,,3,18.75%,,,16,,,,,,,,,,,,3,2,2,66.67%,1,2,9,1,11.11%,6,66.67%,2,33.33%,3,50.00%,1,11.11%,4,44.44%,,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,1,100.00%,1,50.00%,1,100.00%,2,50.00%,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45207,SEBASTIAN,CACERES,CACERES S.,18-08-1999,132630,102,,,,,,2,,,48,3,6.25%,38,79.17%,1,33.33%,,,,,29,1,3.45%,,,,,,,1,,1,6,11,1,16.67%,,5,16,,,12,75.00%,4,33.33%,1,8.33%,6,37.50%,5,31.25%,,,,,,1,0.000,0.000,0.483,0.000,0.345,0.000,0.000,0.000,246,,,2,40.00%,4,66.67%,5,100.00%,2,33.33%,1,1,100.00%,5,45.45%,3,27.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36654,AGUSTIN,CANOBBIO,CANOBBIO A.,01-10-1998,132630,8,,,,,,,,,4,,,3,75.00%,,,1,20.00%,1,100.00%,5,1,20.00%,,,,,,,,,1,,1,,,1,,3,1,33.33%,1,33.33%,,,,,,,,,1,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13443,GIORGIAN,DE ARRASCAETA,DE ARRASCAETA G.,01-06-1994,132630,52,,,,,,2,1,50.00%,27,6,22.22%,21,77.78%,3,50.00%,1,4.35%,,,23,,,1,1,100.00%,2,1,50.00%,1,,3,4,3,2,50.00%,1,,6,1,16.67%,3,50.00%,2,66.67%,,,3,50.00%,1,16.67%,,1,,,,,0.000,0.000,1.312,0.051,1.312,0.000,0.000,0.000,246,1,100.00%,,,,,1,100.00%,,,,1,100.00%,3,100.00%,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26462,NICOLAS,DE LA CRUZ,DE LA CRUZ N.,01-06-1997,132630,94,1,1,100.00%,1,100.00%,4,2,50.00%,52,7,13.46%,40,76.92%,3,42.86%,11,25.00%,,,44,2,4.55%,2,1,50.00%,2,1,50.00%,1,,3,9,4,2,22.22%,2,1,13,3,23.08%,9,69.23%,2,22.22%,,,3,23.08%,3,23.08%,2,3,,1,100.00%,1,0.065,0.257,0.698,0.075,0.763,0.192,0.065,0.000,246,2,100.00%,1,100.00%,2,66.67%,2,66.67%,,,,,,1,25.00%,,,2,1,50.00%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7671,JOSE' MARIA,GIMENEZ,GIMENEZ J.,20-01-1995,132630,102,2,,,,,3,,,58,2,3.45%,53,91.38%,1,50.00%,2,5.71%,2,100.00%,35,2,5.71%,,,,,,,,,,1,14,1,100.00%,,3,16,,,9,56.25%,1,11.11%,,,6,37.50%,6,37.50%,1,,,,,1,0.457,0.000,0.309,0.000,0.396,-0.457,0.457,0.000,246,,,2,66.67%,3,50.00%,5,83.33%,,,2,,,3,21.43%,1,7.14%,,,,,,1,2,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24912,DARWIN,NUNEZ,NUNEZ D.,24-06-1999,132630,102,3,,,1,33.33%,2,,,23,3,13.04%,18,78.26%,1,33.33%,6,21.43%,1,16.67%,28,7,25.00%,1,,,,,,,1,1,9,4,1,11.11%,4,,13,,,5,38.46%,2,40.00%,4,80.00%,1,7.69%,8,61.54%,,,3,,,1,0.350,0.000,0.785,0.029,0.237,-0.350,0.350,0.000,246,2,50.00%,,,,,3,37.50%,,,,,,,,,,,,,,,,2,66.67%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51068,CRISTIAN,OLIVERA,OLIVERA C.,17-04-2002,132630,52,,,,,,1,,,14,2,14.29%,11,78.57%,,,1,6.67%,,,15,3,20.00%,,,,1,,,,,2,4,1,,,1,1,6,1,16.67%,2,33.33%,,,3,150.00%,,,2,33.33%,1,1,,,,,0.000,0.000,0.425,0.000,0.080,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23369,MATHIAS,OLIVERA MIRAMONTES,OLIVERA M.,31-10-1997,132630,50,,,,,,1,,,19,,,17,89.47%,,,,,,,14,,,,,,,,,,,,2,3,1,50.00%,,2,12,1,8.33%,9,75.00%,,,2,22.22%,1,8.33%,8,66.67%,,1,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,1,100.00%,5,62.50%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
