Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,traversoni,cutBack,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,interventoPositivo,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,inFuorigioco,ammonizioni,golProcurati,golSviluppoCorner,golSviluppoCorner_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,FxGoT,gkGP,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC
47715,ALI,AHMED,AHMED A.,10-10-2000,133245,79,3,3,100.00%,31,7,22.58%,23,74.19%,4,57.14%,2,5.88%,34,3,8.82%,2,2,100.00%,3,3,100.00%,3,3,100.00%,1,1,5,7,2,1,50.00%,1,50.00%,5,1,14.29%,1,20.00%,3,2,66.67%,16,3,18.75%,7,43.75%,5,71.43%,8,114.29%,3,18.75%,1,33.33%,5,31.25%,1,20.00%,2,3,1,0.000,0.000,1.028,0.193,0.572,0.000,0.000,0.000,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84841,THELONIUS,BAIR,BAIR T.,27-08-1999,133245,19,,,,3,,,2,66.67%,,,,,3,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,3,,,2,66.67%,2,100.00%,1,50.00%,1,33.33%,1,100.00%,2,66.67%,1,50.00%,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11695,MATHIEU,CHOINIERE,CHOINIERE M.,07-02-1999,133245,98,4,,,49,7,14.29%,35,71.43%,1,14.29%,1,2.50%,40,2,5.00%,1,,,,,,,,,1,,1,8,2,2,100.00%,,,3,,,1,33.33%,2,1,50.00%,14,1,7.14%,4,28.57%,3,75.00%,5,125.00%,1,7.14%,,,5,35.71%,2,40.00%,3,1,2,0.756,0.982,1.329,0.000,1.719,0.226,0.000,0.000,3914,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36779,DEREK,CORNELIUS,CORNELIUS D.,25-11-1997,133245,29,1,,,9,,,6,66.67%,,,,,3,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,5,,,2,40.00%,,,2,100.00%,,,,,2,40.00%,2,100.00%,1,,1,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.000,3914,2,2,100.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23346,JONATHAN,DAVID,DAVID J.,14-01-2000,133245,29,,,,12,1,8.33%,9,75.00%,,,,,13,1,7.69%,,,,,,,,,,1,,1,3,1,1,100.00%,,,,1,33.33%,,,1,1,100.00%,8,2,25.00%,4,50.00%,3,75.00%,2,50.00%,1,12.50%,,,1,12.50%,,,,2,1,0.960,1.420,0.387,0.000,1.186,0.460,0.205,0.000,3914,3,2,66.67%,,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22446,ALPHONSO,DAVIES,DAVIES A.,02-11-2000,133245,34,1,1,100.00%,11,3,27.27%,6,54.55%,1,33.33%,,,7,,,,,,1,1,100.00%,,,,,,,3,,,,,,,1,33.33%,,,1,,,3,,,,,,,2,,,,,,,,,,,,1,0.800,0.395,0.466,0.074,1.266,-0.406,0.045,0.000,3914,2,2,100.00%,,1,1,100.00%,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36781,ALISTAIR,JOHNSTON,JOHNSTON A.,08-10-1998,133245,63,,,,35,6,17.14%,28,80.00%,4,66.67%,,,13,,,,,,,,,,,,,,,3,1,1,100.00%,,,9,,,2,22.22%,,,,10,1,10.00%,7,70.00%,3,42.86%,3,42.86%,1,10.00%,,,4,40.00%,4,100.00%,2,1,1,0.000,0.000,0.625,0.000,0.625,0.000,0.000,0.000,3914,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36785,ISMAEL,KONE',KONE' I.,16-06-2002,133245,98,6,1,16.67%,50,7,14.00%,37,74.00%,4,57.14%,3,6.98%,43,2,4.65%,,,,,,,1,,,,,1,8,1,1,100.00%,,,7,1,12.50%,5,71.43%,4,4,100.00%,16,4,25.00%,12,75.00%,8,66.67%,3,25.00%,1,6.25%,1,100.00%,4,25.00%,1,25.00%,1,4,2,1.037,1.502,0.731,0.000,1.245,0.465,0.281,0.000,3914,2,,,,2,2,100.00%,1,50.00%,1,50.00%,1,100.00%,1,100.00%,1,50.00%,1,50.00%,1,50.00%,1,33.33%,1,1,1,1,100.00%,3,42.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36782,RICHIE,LARYEA,LARYEA R.,07-01-1995,133245,98,,,,39,1,2.56%,34,87.18%,,,1,5.88%,17,,,,,,,,,,,,,,,2,,,,,,13,,,4,30.77%,2,1,50.00%,17,5,29.41%,12,70.59%,6,50.00%,5,41.67%,1,5.88%,,,4,23.53%,4,100.00%,2,5,2,0.023,0.000,0.000,0.000,0.023,-0.023,0.023,0.000,3914,3,1,33.33%,,1,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49309,MOISE BOMBITO,LUMPUNGU,BOMBITO M.,30-03-2000,133245,98,4,1,25.00%,50,3,6.00%,37,74.00%,1,33.33%,1,3.70%,27,3,11.11%,5,,,1,1,100.00%,,,,,,,6,1,,,1,100.00%,13,3,50.00%,3,23.08%,1,1,100.00%,11,,,6,54.55%,5,83.33%,2,33.33%,4,36.36%,2,50.00%,1,9.09%,1,100.00%,1,,2,0.928,0.975,0.434,0.066,0.901,0.047,0.172,0.000,3914,4,2,50.00%,,1,,,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,1,100.00%,1,100.00%,1,100.00%,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
