Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaArea,tiriDaArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,traversoni,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriInPorta,tiriInPorta_PERC,cross,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,assistVincenti,assistVincenti_PERC,ammonizioni,tiriDiTesta,tiriDiTesta_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,traversoniRiusciti,traversoniRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,parataPiede,parataPiede_PERC,retiSubGK
26457,JULIAN,ALVAREZ,ALVAREZ J.,31-01-2000,133246,101,1,1,100.00%,15,2,13.33%,11,73.33%,1,50.00%,2,11.76%,1,50.00%,17,1,5.88%,1,1,100.00%,1,1,6,1,1,100.00%,1,1,4,4,100.00%,10,8,2,20.00%,3,30.00%,0.213,0.000,0.506,0.000,0.530,-0.213,0.213,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11569,RODRIGO,DE PAUL,DE PAUL R.,24-05-1994,133246,131,,,,58,2,3.45%,47,81.03%,1,50.00%,3,5.77%,,,52,1,1.92%,,,,,1,8,2,2,100.00%,5,2,3,1,33.33%,14,1,1,7.14%,5,35.71%,0.000,0.000,0.536,0.067,0.536,0.000,0.000,0.000,421,5,1,20.00%,1,1,100.00%,1,1,100.00%,5,62.50%,2,40.00%,2,14.29%,8,57.14%,2,25.00%,12.50%,1,100.00%,3,60.00%,1,2,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,ANGEL,DI MARIA,DI MARIA A.,14-02-1988,133246,122,2,2,100.00%,44,9,20.45%,38,86.36%,7,77.78%,6,12.77%,1,16.67%,47,1,2.13%,,,,,5,11,2,,,5,8,1,1,100.00%,15,6,1,6.67%,3,20.00%,0.156,0.501,1.450,0.060,1.316,0.345,0.156,0.000,421,3,2,66.67%,2,2,100.00%,1,1,100.00%,1,9.09%,3,60.00%,2,13.33%,7,46.67%,5,71.43%,85.71%,1,100.00%,1,33.33%,,2,,,2,100.00%,4,3,75.00%,2,100.00%,3,37.50%,1,2,100.00%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35040,ENZO,FERNANDEZ,FERNANDEZ E.,17-01-2001,133246,102,,,,65,1,1.54%,61,93.85%,1,100.00%,1,1.89%,,,53,,,,,,,,2,2,1,50.00%,2,,6,1,16.67%,9,,1,11.11%,,,0.000,0.000,0.347,0.000,0.061,0.000,0.000,0.000,421,9,,,,,,,,,,,,,,,6,66.67%,2,33.33%,,1,100.00%,,,2,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26456,NICOLAS,GONZALEZ,GONZALEZ N.,06-04-1998,133246,64,2,2,100.00%,17,7,41.18%,6,35.29%,,,2,9.09%,2,100.00%,22,6,27.27%,,,,,1,11,,,,3,1,,,,13,4,8,61.54%,3,23.08%,0.740,0.415,1.941,0.000,1.070,-0.325,0.740,0.000,421,,,,,,,1,,,1,9.09%,,,1,7.69%,9,69.23%,6,66.67%,44.44%,6,75.00%,2,66.67%,,1,,,1,50.00%,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14920,GIOVANI,LO CELSO,LO CELSO G.,09-04-1996,133246,29,,,,8,,,8,100.00%,,,1,11.11%,,,9,,,,,,,,2,,,,2,,1,1,100.00%,6,3,,,3,50.00%,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,421,1,,,1,,,,,,1,50.00%,,,1,16.67%,2,33.33%,1,50.00%,150.00%,,,1,33.33%,1,1,,,,,,,,,,,,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32684,ALEXIS,MAC ALLISTER,MAC ALLISTER A.,24-12-1998,133246,101,1,1,100.00%,57,2,3.51%,53,92.98%,1,50.00%,6,10.91%,1,16.67%,55,2,3.64%,,,,,,4,,,,3,2,,,,11,3,2,18.18%,4,36.36%,0.090,0.141,0.473,0.032,0.214,0.051,0.090,0.000,421,6,1,16.67%,1,1,100.00%,,,,,,1,33.33%,1,9.09%,6,54.55%,3,50.00%,50.00%,1,50.00%,2,50.00%,2,1,,,1,100.00%,,,,,,2,100.00%,,1,100.00%,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8278,DAMIAN EMILIANO,MARTINEZ,MARTINEZ E.,02-09-1992,133246,131,,,,43,,,33,76.74%,,,,,,,15,,,,,,,,7,,,,3,,,,,,,,,,,0.000,0.000,0.972,0.000,0.972,0.000,0.000,0.000,421,,,,,,,,,,4,57.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,1,5,5,100.00%,7,8,1,14.29%,8,100.00%,28,12,42.86%,6,21.43%,6,100.00%,10,35.71%,2.430,2.430,,,,,,,,,,,,,,,,,,
16755,LAUTARO JAVIER,MARTINEZ,LAUTARO MARTINEZ,22-08-1997,133246,30,1,1,100.00%,5,1,20.00%,3,60.00%,,,3,27.27%,,,11,,,,,,,,4,,,,,1,1,1,100.00%,7,5,1,14.29%,3,42.86%,0.000,0.266,0.000,0.000,0.000,0.266,0.000,0.000,421,,,,,,,,,,1,25.00%,,,1,14.29%,1,14.29%,1,100.00%,500.00%,,,,,,1,,,1,100.00%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,
21433,LISANDRO,MARTINEZ,LISANDRO MARTINEZ,18-01-1998,133246,131,,,,35,,,31,88.57%,,,,,,,24,,,3,,,,,2,,,,7,,2,2,100.00%,7,,3,42.86%,1,14.29%,0.000,0.000,0.000,0.000,-0.782,0.000,0.000,0.000,421,1,,,,,,,,,1,50.00%,1,14.29%,1,14.29%,4,57.14%,,,,2,66.67%,1,100.00%,,1,2,100.00%,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
