Player ID,First Name,Last Name,Known Name,Born Date,Season ID,playTime,playTime_MEAN,tiri,tiri_MEAN,tiriInPorta,tiriInPorta_PERC,tiriInPorta_MEAN,tiriDaArea,tiriDaArea_PERC,tiriDaArea_MEAN,passChiave,passChiave_MEAN,pass,pass_MEAN,passInArea,passInArea_PERC,passInArea_MEAN,passRiusciti,passRiusciti_PERC,passRiusciti_MEAN,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevuti_MEAN,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passChiaveRicevutiInArea_MEAN,passRicevuti,passRicevuti_MEAN,passRicevutiInArea,passRicevutiInArea_PERC,passRicevutiInArea_MEAN,palleLaterali,palleLaterali_MEAN,perdePalla,perdePalla_MEAN,triangolazione,triangolazione_MEAN,triFatta,triFatta_PERC,triFatta_MEAN,triChiusa,triChiusa_PERC,triChiusa_MEAN,recuperaPalla,recuperaPalla_MEAN,perdeMetaCampoProria,perdeMetaCampoProria_PERC,perdeMetaCampoProria_MEAN,dribbling,dribbling_MEAN,dribblingPositivo,dribblingPositivo_PERC,dribblingPositivo_MEAN,dribblingSub,dribblingSub_MEAN,duelli,duelli_MEAN,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliFalliDiGioco_MEAN,duelliVinti,duelliVinti_PERC,duelliVinti_MEAN,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliVintiMetaCampo_MEAN,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliPersiMetaCampo_MEAN,duelliAerei,duelliAerei_PERC,duelliAerei_MEAN,duelliTackle,duelliTackle_PERC,duelliTackle_MEAN,duelliTackleVinti,duelliTackleVinti_PERC,duelliTackleVinti_MEAN,falliFatti,falliFatti_MEAN,falliSubiti,falliSubiti_MEAN,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaArea_MEAN,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,perdeTerzoDifensivo_MEAN,xG,xG_MEAN,xGoT,xGoT_MEAN,xA,xA_MEAN,xAe,xAe_MEAN,xOvA,xOvA_MEAN,shotQuality,shotQuality_MEAN,np_xG,np_xG_MEAN,op_xG,op_xG_MEAN,tiriDaFuori,tiriDaFuori_PERC,tiriDaFuori_MEAN,passInAreaRiusciti,passInAreaRiusciti_PERC,passInAreaRiusciti_MEAN,giochiPortiereRicevuti,giochiPortiereRicevuti_MEAN,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,giochiPortiereRicevutiMetaCampoAvversaria_MEAN,cross,cross_MEAN,traversoni,traversoni_MEAN,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaMetaCampoAvversaria_MEAN,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,dribblingSubitoNegativo_MEAN,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriDaAreaPiccola_MEAN,tiroGol,tiroGol_PERC,tiroGol_MEAN,tiroGolArea,tiroGolArea_PERC,tiroGolArea_MEAN,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolAreaPiccola_MEAN,tiroGolPiede,tiroGolPiede_PERC,tiroGolPiede_MEAN,retiSub,retiSub_MEAN,passChiaveInArea,passChiaveInArea_PERC,passChiaveInArea_MEAN,assist,assist_MEAN,assistVincenti,assistVincenti_PERC,assistVincenti_MEAN,assistInArea,assistInArea_PERC,assistInArea_MEAN,crossRiusciti,crossRiusciti_PERC,crossRiusciti_MEAN,traversoniRiusciti,traversoniRiusciti_PERC,traversoniRiusciti_MEAN,cutBack,cutBack_MEAN,cutBackRiusciti,cutBackRiusciti_PERC,cutBackRiusciti_MEAN,duelliAereiVinti,duelliAereiVinti_PERC,duelliAereiVinti_MEAN,inFuorigioco,inFuorigioco_MEAN,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriInPortaDaFuori_MEAN,interventoNegativo,interventoNegativo_MEAN,ammonizioni,ammonizioni_MEAN,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,recuperaTerzoOffensivo_MEAN,tiriDiTesta,tiriDiTesta_PERC,tiriDiTesta_MEAN,assistVincentiInArea,assistVincentiInArea_PERC,assistVincentiInArea_MEAN,interventoPositivo,interventoPositivo_MEAN,parate,parate_MEAN,uscite,uscite_MEAN,tiriInPortaSubitiPortiere,tiriInPortaSubitiPortiere_MEAN,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriInPortaSubitiParati_MEAN,tiriRigoreSubiti,tiriRigoreSubiti_MEAN,lanci,lanci_MEAN,passaggiPortiere,passaggiPortiere_MEAN,lanciPositivi,lanciPositivi_PERC,lanciPositivi_MEAN,passaggiPortierePositivi,passaggiPortierePositivi_PERC,passaggiPortierePositivi_MEAN,rinvio,rinvio_MEAN,rinvioMano,rinvioMano_PERC,rinvioMano_MEAN,rinvioPiede,rinvioPiede_PERC,rinvioPiede_MEAN,parataMano,parataMano_PERC,parataMano_MEAN,parataPiede,parataPiede_PERC,parataPiede_MEAN,retiSubGK,retiSubGK_MEAN,rinvioDalFondo,rinvioDalFondo_PERC,rinvioDalFondo_MEAN,FxGoT,FxGoT_MEAN,gkGP,gkGP_MEAN,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,golSviluppoPunizioneCentrale_MEAN,golSviluppoCorner,golSviluppoCorner_PERC,golSviluppoCorner_MEAN,tiroGolTesta,tiroGolTesta_PERC,tiroGolTesta_MEAN,thirdPass,thirdPass_MEAN,thirdPassVincenti,thirdPassVincenti_PERC,thirdPassVincenti_MEAN,tiriDiRigore,tiriDiRigore_PERC,tiriDiRigore_MEAN,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolFuoriArea_MEAN,reteDaPunizioneDiretta,reteDaPunizioneDiretta_PERC,reteDaPunizioneDiretta_MEAN,golProcurati,golProcurati_MEAN,tiroGolRigore,tiroGolRigore_PERC,tiroGolRigore_MEAN,espulsioni,espulsioni_MEAN,doppieAmm,doppieAmm_MEAN,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,golSviluppoPunizioneLaterale_MEAN,traversoniVincenti,traversoniVincenti_PERC,traversoniVincenti_MEAN,crossVincenti,crossVincenti_PERC,crossVincenti_MEAN,autogol,autogol_MEAN,golSviluppoPunizioneDiretta,golSviluppoPunizioneDiretta_PERC,golSviluppoPunizioneDiretta_MEAN,cutBackVincenti,cutBackVincenti_PERC,cutBackVincenti_MEAN,tiriRigoreParati,tiriRigoreParati_PERC,tiriRigoreParati_MEAN
14945,MARCOS,ACUNA,ACUNA M.,28-10-1991,2023,103,52,1,0.50,1,100.00%,0.50,1,100.00%,0.50,2,1.00,67,33.50,2,2.99%,1.00,55,82.09%,27.50,3,5.66%,1.50,1,33.33%,0.50,53,26.50,1,1.89%,0.50,1,0.50,7,3.50,3,1.50,1,33.33%,0.50,2,66.67%,1.00,4,2.00,4,57.14%,2.00,4,2.00,1,25.00%,0.50,2,1.00,15,7.50,1,6.67%,0.50,7,46.67%,3.50,3,42.86%,1.50,2,28.57%,1.00,1,6.67%,0.50,4,26.67%,2.00,3,75.00%,1.50,3,1.50,1,0.50,1,100.00%,0.50,4,57.14%,2.00,0.077,0.039,0.119,0.060,0.400,0.200,0.000,0.000,0.477,0.239,0.042,0.021,0.077,0.039,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26457,JULIAN,ALVAREZ,ALVAREZ J.,31-01-2000,2023,367,73,9,1.80,6,66.67%,1.20,7,77.78%,1.40,,,70,14.00,5,7.14%,1.00,58,82.86%,11.60,20,23.81%,4.00,5,25.00%,1.00,84,16.80,6,7.14%,1.20,2,0.40,20,4.00,2,0.40,2,100.00%,0.40,,,,6,1.20,3,15.00%,0.60,6,1.20,4,66.67%,0.80,11,2.20,42,8.40,2,4.76%,0.40,14,33.33%,2.80,8,57.14%,1.60,20,142.86%,4.00,4,9.52%,0.80,15,35.71%,3.00,5,33.33%,1.00,5,1.00,2,0.40,6,100.00%,1.20,,,,2.245,0.449,3.279,0.656,1.170,0.234,0.000,0.000,2.132,0.426,1.036,0.207,1.489,0.298,0.000,0.000,2,22.22%,0.40,3,60.00%,0.60,4,0.80,4,100.00%,0.80,1,0.20,1,0.20,1,16.67%,0.20,8,72.73%,1.60,1,11.11%,0.20,2,22.22%,0.40,2,100.00%,0.40,1,50.00%,0.20,2,100.00%,0.40,1,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26598,VALENTIN,CARBONI,CARBONI V.,05-03-2005,2023,17,17,,,,,,,,,,,5,5.00,,,,5,100.00%,5.00,2,28.57%,2.00,,,,7,7.00,,,,,,2,2.00,,,,,,,,,,,,,,,,,,,,,4,4.00,,,,,,,,,,3,,3.00,,,,2,50.00%,2.00,,,,2,2.00,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11569,RODRIGO,DE PAUL,DE PAUL R.,24-05-1994,2023,524,105,4,0.80,1,25.00%,0.20,1,25.00%,0.20,23,4.60,290,58.00,18,6.21%,3.60,243,83.79%,48.60,15,5.62%,3.00,,,,267,53.40,3,1.12%,0.60,7,1.40,28,5.60,12,2.40,8,66.67%,1.60,4,33.33%,0.80,17,3.40,14,50.00%,2.80,13,2.60,7,53.85%,1.40,14,2.80,66,13.20,10,15.15%,2.00,34,51.52%,6.80,13,38.24%,2.60,18,52.94%,3.60,3,4.55%,0.60,22,33.33%,4.40,10,45.45%,2.00,7,1.40,10,2.00,,,,4,14.29%,0.80,0.265,0.053,0.486,0.097,2.864,0.573,0.389,0.078,2.575,0.515,0.221,0.044,0.265,0.053,0.000,0.000,3,75.00%,0.60,9,50.00%,1.80,,,,,,2,0.40,2,0.40,7,41.18%,1.40,8,57.14%,1.60,,,,,,,,,,,,,,,,1,0.20,6,26.09%,1.20,8,1.60,1,12.50%,0.20,5,62.50%,1.00,1,50.00%,0.20,1,50.00%,0.20,3,0.60,1,33.33%,0.20,1,33.33%,0.20,1,0.20,1,100.00%,0.20,1,0.20,1,0.20,2,11.76%,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,ANGEL,DI MARIA,DI MARIA A.,14-02-1988,2023,372,74,6,1.20,4,66.67%,0.80,3,50.00%,0.60,15,3.00,180,36.00,30,16.67%,6.00,141,78.33%,28.20,12,6.90%,2.40,1,8.33%,0.20,174,34.80,2,1.15%,0.40,6,1.20,37,7.40,8,1.60,3,37.50%,0.60,5,62.50%,1.00,13,2.60,5,13.51%,1.00,22,4.40,10,45.45%,2.00,4,0.80,43,8.60,6,13.95%,1.20,21,48.84%,4.20,13,61.90%,2.60,17,80.95%,3.40,2,4.65%,0.40,9,20.93%,1.80,3,33.33%,0.60,,,6,1.20,3,75.00%,0.60,2,5.41%,0.40,0.459,0.092,0.668,0.134,4.574,0.915,0.509,0.102,4.744,0.949,0.209,0.042,0.459,0.092,0.023,0.005,3,50.00%,0.60,15,50.00%,3.00,,,,,,4,0.80,,,4,30.77%,0.80,3,75.00%,0.60,,,,,,,,,,,,,,,,,,5,33.33%,1.00,11,2.20,1,9.09%,0.20,5,45.45%,1.00,3,75.00%,0.60,,,,2,0.40,1,50.00%,0.20,1,50.00%,0.20,2,0.40,1,25.00%,0.20,,,,,1,7.69%,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35040,ENZO,FERNANDEZ,FERNANDEZ E.,17-01-2001,2023,375,75,4,0.80,1,25.00%,0.20,3,75.00%,0.60,24,4.80,225,45.00,7,3.11%,1.40,196,87.11%,39.20,12,6.19%,2.40,2,16.67%,0.40,194,38.80,3,1.55%,0.60,,,17,3.40,2,0.40,1,50.00%,0.20,1,50.00%,0.20,16,3.20,,,,1,0.20,1,100.00%,0.20,10,2.00,32,6.40,4,12.50%,0.80,19,59.38%,3.80,4,21.05%,0.80,7,36.84%,1.40,5,15.63%,1.00,9,28.13%,1.80,4,44.44%,0.80,3,0.60,4,0.80,,,,,,,0.299,0.060,0.540,0.108,1.598,0.320,0.434,0.087,1.046,0.209,0.240,0.048,0.299,0.060,0.000,0.000,1,25.00%,0.20,3,42.86%,0.60,2,0.40,,,,,,,,4,25.00%,0.80,3,30.00%,0.60,,,,,,,,,,,,,,,,,,2,8.33%,0.40,7,1.40,2,28.57%,0.40,2,28.57%,0.40,,,,,,,,,,,,3,60.00%,0.60,,,1,100.00%,0.20,,,,,1,6.25%,0.20,1,25.00%,0.20,1,50.00%,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36966,ALEJANDRO,GARNACHO,GARNACHO A.,01-07-2004,2023,67,67,2,2.00,1,50.00%,1.00,2,100.00%,2.00,,,23,23.00,2,8.70%,2.00,19,82.61%,19.00,2,8.00%,2.00,,,,25,25.00,1,4.00%,1.00,1,1.00,7,7.00,,,,,,,,,3,3.00,1,14.29%,1.00,6,6.00,3,50.00%,3.00,1,1.00,14,14.00,2,14.29%,2.00,7,50.00%,7.00,5,71.43%,5.00,6,85.71%,6.00,1,7.14%,1.00,4,28.57%,4.00,1,25.00%,1.00,,,2,2.00,1,100.00%,1.00,2,28.57%,2.00,0.097,0.097,0.081,0.081,0.285,0.285,0.000,0.000,0.382,0.382,-0.016,-0.016,0.097,0.097,0.056,0.056,,,,,,,,,,,,,,,,1,33.33%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26456,NICOLAS,GONZALEZ,GONZALEZ N.,06-04-1998,2023,286,57,4,0.80,2,50.00%,0.40,3,75.00%,0.60,5,1.00,90,18.00,12,13.33%,2.40,61,67.78%,12.20,8,8.33%,1.60,3,37.50%,0.60,96,19.20,14,14.58%,2.80,2,0.40,30,6.00,2,0.40,2,100.00%,0.40,,,,11,2.20,5,16.67%,1.00,8,1.60,1,12.50%,0.20,6,1.20,47,9.40,2,4.26%,0.40,22,46.81%,4.40,12,54.55%,2.40,19,86.36%,3.80,13,27.66%,2.60,12,25.53%,2.40,8,66.67%,1.60,6,1.20,2,0.40,2,100.00%,0.40,,,,0.924,0.185,0.536,0.107,3.089,0.618,0.148,0.030,1.915,0.383,-0.388,-0.078,0.924,0.185,0.000,0.000,1,25.00%,0.20,2,16.67%,0.40,,,,,,,,,,1,9.09%,0.20,4,66.67%,0.80,,,,,,,,,,,,,,,,1,0.20,1,20.00%,0.20,4,0.80,,,,1,25.00%,0.20,,,,,,,2,0.40,1,50.00%,0.20,9,69.23%,1.80,1,0.20,,,,,,1,0.20,1,9.09%,0.20,1,25.00%,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14920,GIOVANI,LO CELSO,LO CELSO G.,09-04-1996,2023,176,35,3,0.60,2,66.67%,0.40,3,100.00%,0.60,6,1.20,89,17.80,4,4.49%,0.80,76,85.39%,15.20,9,11.11%,1.80,3,33.33%,0.60,81,16.20,3,3.70%,0.60,2,0.40,11,2.20,2,0.40,1,50.00%,0.20,1,50.00%,0.20,8,1.60,3,27.27%,0.60,4,0.80,2,50.00%,0.40,3,0.60,29,5.80,4,13.79%,0.80,16,55.17%,3.20,7,43.75%,1.40,9,56.25%,1.80,1,3.45%,0.20,14,48.28%,2.80,8,57.14%,1.60,3,0.60,4,0.80,2,100.00%,0.40,,,,1.157,0.231,1.011,0.202,0.967,0.193,0.036,0.007,1.216,0.243,-0.147,-0.029,1.157,0.231,0.000,0.000,,,,1,25.00%,0.20,,,,,,1,0.20,1,0.20,1,12.50%,0.20,2,66.67%,0.40,1,33.33%,0.20,,,,,,,,,,,,,1,0.20,,,,1,0.20,1,100.00%,0.20,,,,,,,,,,,,,,,1,100.00%,0.20,,,,,,,,2,0.40,,,,,,,,,,1,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32684,ALEXIS,MAC ALLISTER,MAC ALLISTER A.,24-12-1998,2023,478,96,4,0.80,3,75.00%,0.60,3,75.00%,0.60,19,3.80,217,43.40,8,3.69%,1.60,191,88.02%,38.20,18,9.23%,3.60,4,22.22%,0.80,195,39.00,10,5.13%,2.00,,,26,5.20,3,0.60,1,33.33%,0.20,2,66.67%,0.40,23,4.60,8,30.77%,1.60,10,2.00,6,60.00%,1.20,9,1.80,69,13.80,7,10.14%,1.40,37,53.62%,7.40,17,45.95%,3.40,16,43.24%,3.20,6,8.70%,1.20,29,42.03%,5.80,19,65.52%,3.80,8,1.60,7,1.40,3,100.00%,0.60,8,30.77%,1.60,1.539,0.308,1.662,0.332,3.134,0.627,0.170,0.034,2.543,0.509,0.125,0.025,0.783,0.157,0.000,0.000,1,25.00%,0.20,4,50.00%,0.80,2,0.40,,,,,,,,9,39.13%,1.80,6,66.67%,1.20,,,,,,,,,,,,,,,,1,0.20,3,15.79%,0.60,4,0.80,2,50.00%,0.40,3,75.00%,0.60,,,,,,,,,,,,2,33.33%,0.40,,,,,,,,1,0.20,1,4.35%,0.20,2,50.00%,0.40,2,66.67%,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
