Player ID,First Name,Last Name,Known Name,Born Date,Shirt Number,Position,Position Detail,Citizenship,Height,Foot,Photo,Module Position,Age
10847,MARKO,ARNAUTOVIC,ARNAUTOVIC M.,1989-04-19,7,Striker,,Austria,190.0,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ARNAUTOVIC M._10847.png,0,35.2
56850,THIERNO MAMADOU LAMARANA,BALLO,BALLO T.,2002-01-02,0,Striker,,Austria,172.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BALLO T._56850.png,0,22.5
20289,CHRISTOPH,BAUMGARTNER,BAUMGARTNER C.,1999-08-01,19,Midfielder,,Austria,180.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BAUMGARTNER C._20289.png,0,24.9
34759,FLAVIUS,DANILIUC,DANILIUC F.,2001-04-27,21,Defender,,Austria,188.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DANILIUC F._34759.png,0,23.2
19406,KEVIN,DANSO,DANSO K.,1998-09-19,4,Defender,,Austria,190.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DANSO K._19406.png,0,25.8
56907,MAXIMILIAN,ENTRUP,ENTRUP M.,1997-07-25,25,Striker,,Austria,186.0,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ENTRUP M._56907.png,0,26.9
19509,MICHAEL,GREGORITSCH,GREGORITSCH M.,1994-04-18,11,Striker,,Austria,193.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GREGORITSCH M._19509.png,0,30.2
17396,FLORIAN,GRILLITSCH,GRILLITSCH F.,1995-08-07,10,Midfielder,,Austria,187.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GRILLITSCH F._17396.png,0,28.9
51660,MARCO,GRULL,GRULL M.,1998-07-06,27,Midfielder,,Austria,182.0,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GRULL M._51660.png,0,26.0
36705,NIKLAS,HEDL,HEDL N.,2001-03-17,12,Goalkeeper,,Austria,188.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/HEDL N._36705.png,0,23.3
19508,FLORIAN,KAINZ,KAINZ F.,1992-10-24,17,Midfielder,,Austria,176.0,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/KAINZ F._19508.png,0,31.7
15798,KONRAD,LAIMER,LAIMER K.,1997-05-27,20,Midfielder,,Austria,180.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/LAIMER K._15798.png,0,27.1
16265,STEFAN,LAINER,LAINER S.,1992-08-27,0,Defender,,Austria,,,,0,31.8
20287,PHILIPP,LIENHART,LIENHART P.,1996-07-11,15,Defender,,Austria,189.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/LIENHART P._20287.png,0,28.0
11029,HEINZ,LINDNER,LINDNER H.,1990-07-17,1,Goalkeeper,,Austria,187.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/LINDNER H._11029.png,0,34.0
16840,PHILLIPP,MWENE,MWENE P.,1994-01-29,16,Defender,,Austria,170.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MWENE P._16840.png,0,30.4
56915,TOBIAS,OKIKI LAWAL,LAWAL T.,2000-06-07,0,Goalkeeper,,Austria,195.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/LAWAL T._56915.png,0,24.1
15732,PATRICK,PENTZ,PENTZ P.,1997-01-02,13,Goalkeeper,,Austria,183.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/PENTZ P._15732.png,0,27.5
17397,STEFAN,POSCH,POSCH S.,1997-05-14,5,Defender,,Austria,190.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/POSCH S._17397.png,0,27.1
36706,ALEXANDER,PRASS,PRASS A.,2001-05-26,8,Midfielder,,Austria,180.0,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/PRASS A._36706.png,0,23.1
33832,LEOPOLD,QUERFELD,QUERFELD L.,2003-12-20,14,Defender,,Austria,190.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/QUERFELD L._33832.png,0,20.5
10852,MARCEL,SABITZER,SABITZER M.,1994-03-17,9,Midfielder,,Austria,177.0,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/SABITZER M._10852.png,0,30.3
