Player ID,First Name,Last Name,Known Name,Born Date,Shirt Number,Position,Position Detail,Citizenship,Height,Foot,Photo,Module Position,Age
8284,NATHAN,AKE',AKE' N.,1995-02-18,5,Defender,Centre-Back,Netherlands,180,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/AKE' N._8284.png,0,29.4
7374,STEVEN,BERGHUIS,BERGHUIS S.,1991-12-19,0,Midfielder,Attacking Midfield,Netherlands,182,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BERGHUIS S._7374.png,0,32.5
13858,STEVEN,BERGWIJN,BERGWIJN S.,1997-10-08,25,Striker,,Netherlands,178,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BERGWIJN S._13858.png,0,26.7
25640,JUSTIN,BIJLOW,BIJLOW J.,1998-01-22,13,Goalkeeper,,Netherlands,188,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BIJLOW J._25640.png,0,26.4
7313,DALEY,BLIND,BLIND D.,1990-03-09,17,Defender,Left-Back,Netherlands,180,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BLIND D._7313.png,0,34.3
24660,BRIAN,BROBBEY,BROBBEY B.,2002-02-01,19,Striker,,Netherlands,180,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BROBBEY B._24660.png,0,22.4
13718,FRENKIE,DE JONG,DE JONG F.,1997-05-12,0,Midfielder,Center Midfield,Netherlands,181,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DE JONG F._13718.png,0,27.1
13574,MATTHIJS,DE LIGT,DE LIGT M.,1999-08-12,3,Defender,Centre-Back,Netherlands,189,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DE LIGT M._13574.png,0,24.9
8630,MARTEN,DE ROON,DE ROON M.,1991-03-29,0,Midfielder,Defensive Midfield,Netherlands,185,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DE ROON M._8630.png,0,33.3
6149,STEFAN,DE VRIJ,DE VRIJ S.,1992-02-05,6,Defender,Centre-Back,Netherlands,189,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DE VRIJ S._6149.png,0,32.4
10420,MEMPHIS,DEPAY,DEPAY M.,1994-02-13,10,Striker,,Netherlands,178,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DEPAY M._10420.png,0,30.4
17370,DENZEL,DUMFRIES,DUMFRIES D.,1996-04-18,22,Midfielder,Right Midfield,Netherlands,188,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/DUMFRIES D._17370.png,0,28.2
32694,MARK,FLEKKEN,FLEKKEN M.,1993-06-13,23,Goalkeeper,Goalkeeper,Netherlands,195,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/FLEKKEN M._32694.png,0,31.1
24807,JEREMIE,FRIMPONG,FRIMPONG J.,2000-12-10,12,Striker,,Netherlands,171,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/FRIMPONG J._24807.png,0,23.6
17859,CODY,GAKPO,GAKPO C.,1999-05-07,11,Striker,Left Forward,Netherlands,193,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GAKPO C._17859.png,0,25.2
22769,LUTSHAREL,GEERTRUIDA,GEERTRUIDA L.,2000-07-18,2,Defender,Right-Back,Netherlands,184,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GEERTRUIDA L._22769.png,0,24.0
23416,RYAN,GRAVENBERCH,GRAVENBERCH R.,2002-05-16,26,Midfielder,,Netherlands,190,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GRAVENBERCH R._23416.png,0,22.1
36852,QUILINDSCHY,HARTMAN,HARTMAN Q.,2001-11-14,0,Defender,Left-Back,Netherlands,183,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/HARTMAN Q._36852.png,0,22.6
