Player ID,First Name,Last Name,Known Name,Born Date,Shirt Number,Position,Position Detail,Citizenship,Height,Foot,Photo,Module Position,Age
16959,BORNA,BARISIC,BARISIC B.,1992-11-10,0,Defender,Left-Back,Croatia,186,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BARISIC B._16959.png,0,31.6
30353,MARTIN,BATURINA,BATURINA M.,2003-02-16,26,Midfielder,,Croatia,172,right,,0,21.4
7092,MARCELO,BROZOVIC,BROZOVIC M.,1992-11-16,11,Midfielder,Defensive Midfield,Croatia,181,both,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BROZOVIC M._7092.png,0,31.6
8950,ANTE,BUDIMIR,BUDIMIR A.,1991-07-22,16,Striker,,Croatia,190,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/BUDIMIR A._8950.png,0,32.9
9014,MARTIN,ERLIC,ERLIC M.,1998-01-24,5,Defender,Centre-Back,Croatia,193,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/ERLIC M._9014.png,0,26.4
24930,MATIJA,FRIGAN,FRIGAN M.,2003-02-11,0,Striker,Centre-Forward,Croatia,185,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/FRIGAN M._24930.png,0,21.4
25074,JOSKO,GVARDIOL,GVARDIOL J.,2002-01-23,4,Defender,Centre-Back,Croatia,185,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/GVARDIOL J._25074.png,0,22.4
19436,LUKA,IVANUSEC,IVANUSEC L.,1998-11-26,18,Striker,Left Forward,Croatia,175,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/IVANUSEC L._19436.png,0,25.6
36100,IVICA,IVUSIC,IVUSIC I.,1995-02-01,23,Goalkeeper,Goalkeeper,Croatia,195,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/IVUSIC I._36100.png,0,29.4
26365,JOSIP,JURANOVIC,JURANOVIC J.,1995-08-16,22,Defender,Right-Back,Croatia,173,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/JURANOVIC J._26365.png,0,28.9
6101,MATEO,KOVACIC,KOVACIC M.,1994-05-06,8,Midfielder,Center Midfield,Croatia,177,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/KOVACIC M._6101.png,0,30.2
7248,ANDREJ,KRAMARIC,KRAMARIC A.,1991-06-19,9,Striker,Centre-Forward,Croatia,177,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/KRAMARIC A._7248.png,0,33.0
40658,NEDILJKO,LABROVIC,LABROVIC N.,1999-10-10,12,Goalkeeper,Goalkeeper,Croatia,196,right,,0,24.7
13072,DOMINIK,LIVAKOVIC,LIVAKOVIC D.,1995-01-09,1,Goalkeeper,Goalkeeper,Croatia,188,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/LIVAKOVIC D._13072.png,0,29.5
19437,LOVRO,MAJER,MAJER L.,1998-01-17,7,Midfielder,Center Midfield,Croatia,178,left,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MAJER L._19437.png,0,26.5
7243,LUKA,MODRIC,MODRIC L.,1985-09-09,10,Midfielder,Center Midfield,Croatia,172,right,https://s3.eu-west-1.amazonaws.com/it.sics.logo/120/players/MODRIC L._7243.png,0,38.8
